time,E-BGM,E-BMR,E-BRK,E-BSL,E-BVW,E-BWK,E-CST,E-DIM,E-DOD,E-DTC,E-EEM,E-EHV,E-ENS,E-GER,E-HGL,E-KIJ,E-LLS,E-LSM,E-MBT,E-MEE,E-MVL,E-OHK,E-OZN,E-RIL,E-SMH,E-TIL,E-VHZ,E-VVL,E-WES,E-WEW,E-WTR,E-ZWO,E-ZYV
2040-01-01 00:00:00,-0.02637,-0.02841,-0.00213,-0.13243,-0.01328,-0.0336,-4e-05,-0.01328,-0.044020000000000004,-0.044020000000000004,-0.04994,-0.02841,-0.00019,-0.19887,-0.01313,-0.0336,-0.00019,-0.02637,-0.050219999999999994,-0.0,-0.10081000000000001,-0.02637,-0.01328,-0.13243,-0.10081000000000001,-0.02841,-0.00443,-0.0,-0.10081000000000001,-0.04994,-0.0336,-0.01313,-0.03384
2040-01-01 01:00:00,-0.02637,-0.02841,-0.00213,-0.13243,-0.01328,-4e-05,-4e-05,-0.01328,-0.044020000000000004,-0.044020000000000004,-0.04994,-0.02841,-0.00019,-0.19887,-0.01313,-0.0336,-0.00019,-0.02637,-0.050219999999999994,-0.0,-0.10081000000000001,-0.02637,-0.01328,-0.13243,-0.10081000000000001,-0.02841,-0.00443,-0.0,-0.10081000000000001,-0.04994,-0.0336,-0.01313,-0.03384
2040-01-01 02:00:00,-0.02637,-0.02841,-0.00213,-0.13243,-0.01328,-0.0,-4e-05,-0.01328,-0.044020000000000004,-0.044020000000000004,-0.04994,-0.02841,-0.00019,-0.19887,-0.01313,-0.0336,-0.00019,-0.02637,-0.050219999999999994,-0.0,-0.10081000000000001,-0.02637,-0.01328,-0.13243,-0.10081000000000001,-0.02841,-0.00443,-0.0,-0.10081000000000001,-0.04994,-0.0336,-0.01313,-0.03384
2040-01-01 03:00:00,-0.02637,-0.02841,-0.00213,-0.13243,-0.01328,-0.0,-4e-05,-0.01328,-0.044020000000000004,-0.044020000000000004,-0.04994,-0.02841,-0.00019,-0.19887,-0.01313,-0.0336,-0.00019,-0.02637,-0.050219999999999994,-0.0,-0.10081000000000001,-0.02637,-0.01328,-0.13243,-0.10081000000000001,-0.02841,-0.00443,-0.0,-0.10081000000000001,-0.04994,-0.0336,-0.01313,-0.03384
2040-01-01 04:00:00,-0.02637,-0.02841,-0.00213,-0.13243,-0.01328,-0.0,-4e-05,-0.01328,-0.044020000000000004,-0.044020000000000004,-0.04994,-0.02841,-0.00019,-0.19887,-0.01313,-0.0336,-0.00019,-0.02637,-0.050219999999999994,-0.0,-0.10081000000000001,-0.02637,-0.01328,-0.13243,-0.10081000000000001,-0.02841,-0.00443,-0.0,-0.10081000000000001,-0.04994,-0.0336,-0.01313,-0.03384
2040-01-01 05:00:00,-0.02637,-0.02841,-0.00213,-0.13243,-0.01328,-0.0,-4e-05,-0.01328,-0.044020000000000004,-0.044020000000000004,-0.04994,-0.02841,-0.00019,-0.19887,-0.01313,-0.0336,-0.00019,-0.02637,-0.050219999999999994,-0.0,-0.10081000000000001,-0.02637,-0.01328,-0.13243,-0.10081000000000001,-0.02841,-0.00443,-0.0,-0.10081000000000001,-0.04994,-0.0336,-0.01313,-0.03384
2040-01-01 06:00:00,-0.02637,-0.02841,-0.00213,-0.13243,-0.01328,-0.0,-4e-05,-0.01328,-0.044020000000000004,-0.044020000000000004,-0.04994,-0.02841,-0.00019,-0.19887,-0.01313,-0.0336,-0.00019,-0.02637,-0.050219999999999994,-0.0,-0.10081000000000001,-0.02637,-0.01328,-0.13243,-0.10081000000000001,-0.02841,-0.00443,-0.0,-0.10081000000000001,-0.04994,-0.0336,-0.01313,-0.03384
2040-01-01 07:00:00,-0.02637,-0.02841,-0.00213,-0.13243,-0.01328,-0.0,-4e-05,-0.01328,-0.044020000000000004,-0.044020000000000004,-0.04994,-0.02841,-0.00019,-0.19887,-0.01313,-0.0336,-0.00019,-0.02637,-0.050219999999999994,-0.0,-0.10081000000000001,-0.02637,-0.01328,-0.13243,-0.10081000000000001,-0.02841,-0.00443,-0.0,-0.10081000000000001,-0.04994,-0.0336,-0.01313,-0.03384
2040-01-01 08:00:00,-0.02637,-0.02841,-0.00213,-0.13243,-0.01328,-0.0,-4e-05,-0.01328,-0.044020000000000004,-0.044020000000000004,-0.04994,-0.02841,-0.00019,-0.19887,-0.01313,-0.0336,-0.00019,-0.02637,-0.050219999999999994,-0.0,-0.10081000000000001,-0.02637,-0.01328,-0.13243,-0.10081000000000001,-0.02841,-0.00443,-0.0,-0.10081000000000001,-0.04994,-0.0336,-0.01313,-0.03384
2040-01-01 09:00:00,-0.02623,-0.02826,-0.00212,-0.13172999999999999,-0.013210000000000001,-0.0,-4e-05,-0.013210000000000001,-0.04379,-0.04379,-0.04968,-0.02826,-0.00019,-0.19783,-0.01306,-0.033429999999999994,-0.00019,-0.02623,-0.049960000000000004,-0.0,-0.10028,-0.02623,-0.013210000000000001,-0.13172999999999999,-0.10028,-0.02826,-0.0044,-0.0,-0.10028,-0.04968,-0.033429999999999994,-0.01306,-0.03367
2040-01-01 10:00:00,-0.02499,-0.026930000000000003,-0.00202,-0.12552,-0.01259,-0.0,-4e-05,-0.01259,-0.04172,-0.04172,-0.04734,-0.026930000000000003,-0.00017999999999999998,-0.1885,-0.01245,-0.03185,-0.00017999999999999998,-0.02499,-0.047599999999999996,-0.0,-0.09556,-0.02499,-0.01259,-0.12552,-0.09556,-0.026930000000000003,-0.0042,-0.0,-0.09556,-0.04734,-0.03185,-0.01245,-0.03208
