time,E-BGM,E-BMR,E-BRK,E-BSL,E-BVW,E-BWK,E-CST,E-DIM,E-DOD,E-DTC,E-EEM,E-EHV,E-ENS,E-GER,E-HGL,E-KIJ,E-LLS,E-LSM,E-MBT,E-MEE,E-MVL,E-OHK,E-OZN,E-RIL,E-SMH,E-TIL,E-VHZ,E-VVL,E-WES,E-WEW,E-WTR,E-ZWO,E-ZYV
2040-01-01 00:00:00,-0.17,-0.183,-0.0135,-0.853,-0.08549999999999999,-0.2165,-0.0005,-0.08549999999999999,-0.28350000000000003,-0.28350000000000003,-0.3219999999999,-0.183,-0.001,-1.281,-0.0845,-0.2165,-0.001,-0.17,-0.3235,-0.0,-0.6495,-0.17,-0.08549999999999999,-0.853,-0.6495,-0.183,-0.0285,-0.0,-0.6495,-0.3219999999999,-0.2165,-0.0845,-0.21800000000000003
2040-01-01 01:00:00,-0.17,-0.183,-0.0135,-0.853,-0.08549999999999999,-0.0005,-0.0005,-0.08549999999999999,-0.28350000000000003,-0.28350000000000003,-0.3219999999999,-0.183,-0.001,-1.281,-0.0845,-0.2165,-0.001,-0.17,-0.3235,-0.0,-0.6495,-0.17,-0.08549999999999999,-0.853,-0.6495,-0.183,-0.0285,-0.0,-0.6495,-0.3219999999999,-0.2165,-0.0845,-0.21800000000000003
2040-01-01 02:00:00,-0.17,-0.183,-0.0135,-0.853,-0.08549999999999999,-0.0,-0.0005,-0.08549999999999999,-0.28350000000000003,-0.28350000000000003,-0.3219999999999,-0.183,-0.001,-1.281,-0.0845,-0.2165,-0.001,-0.17,-0.3235,-0.0,-0.6495,-0.17,-0.08549999999999999,-0.853,-0.6495,-0.183,-0.0285,-0.0,-0.6495,-0.3219999999999,-0.2165,-0.0845,-0.21800000000000003
2040-01-01 03:00:00,-0.17,-0.183,-0.0135,-0.853,-0.08549999999999999,-0.0,-0.0005,-0.08549999999999999,-0.28350000000000003,-0.28350000000000003,-0.3219999999999,-0.183,-0.001,-1.281,-0.0845,-0.2165,-0.001,-0.17,-0.3235,-0.0,-0.6495,-0.17,-0.08549999999999999,-0.853,-0.6495,-0.183,-0.0285,-0.0,-0.6495,-0.3219999999999,-0.2165,-0.0845,-0.21800000000000003
2040-01-01 04:00:00,-0.16699999999999998,-0.18000000000000002,-0.0135,-0.838,-0.08399999999999999,-0.0,-0.0005,-0.08399999999999999,-0.27849999999999997,-0.27849999999999997,-0.316,-0.18000000000000002,-0.001,-1.2585000000000002,-0.083,-0.2125,-0.001,-0.16699999999999998,-0.318,-0.0,-0.638,-0.16699999999999998,-0.08399999999999999,-0.838,-0.638,-0.18000000000000002,-0.028,-0.0,-0.638,-0.316,-0.2125,-0.083,-0.214
2040-01-01 05:00:00,-0.16449999999999998,-0.1775,-0.0135,-0.8265,-0.083,-0.0,-0.0005,-0.083,-0.2745,-0.2745,-0.3115,-0.1775,-0.001,-1.2409999999999999,-0.08199999999999999,-0.2095,-0.001,-0.16449999999999998,-0.3135,-0.0,-0.629,-0.16449999999999998,-0.083,-0.8265,-0.629,-0.1775,-0.0275,-0.0,-0.629,-0.3115,-0.2095,-0.08199999999999999,-0.211
2040-01-01 06:00:00,-0.1639999999999,-0.177,-0.0135,-0.825,-0.0825,-0.0,-0.0005,-0.0825,-0.27399999999999997,-0.27399999999999997,-0.3109999999999,-0.177,-0.001,-1.2385,-0.08199999999999999,-0.2095,-0.001,-0.1639999999999,-0.313,-0.0,-0.628,-0.1639999999999,-0.0825,-0.825,-0.628,-0.177,-0.0275,-0.0,-0.628,-0.3109999999999,-0.2095,-0.08199999999999999,-0.211
2040-01-01 07:00:00,-0.1545,-0.1665,-0.0125,-0.775,-0.0775,-0.0,-0.0005,-0.0775,-0.25749999999990003,-0.25749999999990003,-0.2925,-0.1665,-0.001,-1.1639999999999,-0.077,-0.1965,-0.001,-0.1545,-0.294,-0.0,-0.5900000000000001,-0.1545,-0.0775,-0.775,-0.5900000000000001,-0.1665,-0.026,-0.0,-0.5900000000000001,-0.2925,-0.1965,-0.077,-0.19799999999999998
2040-01-01 08:00:00,-0.154,-0.166,-0.0125,-0.7745,-0.0775,-0.0,-0.0005,-0.0775,-0.25749999999990003,-0.25749999999990003,-0.292,-0.166,-0.001,-1.163,-0.077,-0.1965,-0.001,-0.154,-0.294,-0.0,-0.5894999999999999,-0.154,-0.0775,-0.7745,-0.5894999999999999,-0.166,-0.026,-0.0,-0.5894999999999999,-0.292,-0.1965,-0.077,-0.19799999999999998
2040-01-01 09:00:00,-0.156,-0.16799999999999998,-0.0125,-0.7829999999999999,-0.0785,-0.0,-0.0005,-0.0785,-0.2605,-0.2605,-0.2954999999999,-0.16799999999999998,-0.001,-1.176,-0.0775,-0.1985,-0.001,-0.156,-0.297,-0.0,-0.596,-0.156,-0.0785,-0.7829999999999999,-0.596,-0.16799999999999998,-0.026,-0.0,-0.596,-0.2954999999999,-0.1985,-0.0775,-0.2
