time,NL
2050-01-01 00:00:00,-27.5757054
2050-01-01 01:00:00,-27.4180593
2050-01-01 02:00:00,-26.6946604
2050-01-01 03:00:00,-26.13224
2050-01-01 04:00:00,-25.7046884
2050-01-01 05:00:00,-25.7272389
2050-01-01 06:00:00,-26.2103857
2050-01-01 07:00:00,-28.2531488
2050-01-01 08:00:00,-30.4113468
2050-01-01 09:00:00,-30.5294166
2050-01-01 10:00:00,-31.2359932
2050-01-01 11:00:00,-30.7971524
2050-01-01 12:00:00,-30.8963317
2050-01-01 13:00:00,-32.0856234
2050-01-01 14:00:00,-31.7536345
2050-01-01 15:00:00,-34.1850357
2050-01-01 16:00:00,-33.7625076
2050-01-01 17:00:00,-37.0797778
2050-01-01 18:00:00,-39.0603997
2050-01-01 19:00:00,-39.2291483
2050-01-01 20:00:00,-37.7113714
2050-01-01 21:00:00,-35.4892486
2050-01-01 22:00:00,-33.623151
2050-01-01 23:00:00,-32.2671317
2050-01-02 00:00:00,-30.7905461
2050-01-02 01:00:00,-29.9226009
2050-01-02 02:00:00,-29.1744565
2050-01-02 03:00:00,-28.8107328
2050-01-02 04:00:00,-28.6346825
2050-01-02 05:00:00,-26.5814502
2050-01-02 06:00:00,-28.777482
2050-01-02 07:00:00,-30.0313153
2050-01-02 08:00:00,-35.1407702
2050-01-02 09:00:00,-36.5327742
2050-01-02 10:00:00,-36.1132566
2050-01-02 11:00:00,-36.3796363
2050-01-02 12:00:00,-36.265238
2050-01-02 13:00:00,-36.0019416
2050-01-02 14:00:00,-37.1990355
2050-01-02 15:00:00,-37.4343858
2050-01-02 16:00:00,-37.1205639
2050-01-02 17:00:00,-38.0370827
2050-01-02 18:00:00,-39.3918846
2050-01-02 19:00:00,-39.6568334
2050-01-02 20:00:00,-37.9863035
2050-01-02 21:00:00,-35.2553236
2050-01-02 22:00:00,-32.2513245
2050-01-02 23:00:00,-33.5862327
2050-01-03 00:00:00,-32.702159
2050-01-03 01:00:00,-31.8583095
2050-01-03 02:00:00,-31.1602588
2050-01-03 03:00:00,-31.0293557
2050-01-03 04:00:00,-31.4155537
2050-01-03 05:00:00,-29.9728462
