time,NL
2050-01-01 00:00:00,-4.9486537
2050-01-01 01:00:00,-4.9350009
2050-01-01 02:00:00,-5.0880985
2050-01-01 03:00:00,-4.9718021
2050-01-01 04:00:00,-5.1013529
2050-01-01 05:00:00,-6.0631494
2050-01-01 06:00:00,-6.9381099
2050-01-01 07:00:00,-7.0114394
2050-01-01 08:00:00,-6.1060472
2050-01-01 09:00:00,-5.549369
2050-01-01 10:00:00,-5.6465927
2050-01-01 11:00:00,-5.6444357
2050-01-01 12:00:00,-5.6624022
2050-01-01 13:00:00,-5.6854002
2050-01-01 14:00:00,-5.6961924
2050-01-01 15:00:00,-5.7199173
2050-01-01 16:00:00,-5.7530223
2050-01-01 17:00:00,-5.737127
2050-01-01 18:00:00,-5.8762154
2050-01-01 19:00:00,-6.3063146
2050-01-01 20:00:00,-5.7450209
2050-01-01 21:00:00,-5.4442721
2050-01-01 22:00:00,-5.3240817
2050-01-01 23:00:00,-4.6797848
2050-01-02 00:00:00,-4.6377509
2050-01-02 01:00:00,-4.6161747
2050-01-02 02:00:00,-4.6507924
2050-01-02 03:00:00,-4.7327759
2050-01-02 04:00:00,-4.9061852
2050-01-02 05:00:00,-5.9601603
2050-01-02 06:00:00,-6.9388013
2050-01-02 07:00:00,-8.5211812
2050-01-02 08:00:00,-8.0926247
2050-01-02 09:00:00,-7.8116547
2050-01-02 10:00:00,-8.085021
2050-01-02 11:00:00,-8.0504927
2050-01-02 12:00:00,-8.0346995
2050-01-02 13:00:00,-8.0205332
2050-01-02 14:00:00,-7.9192366
2050-01-02 15:00:00,-7.6360436
2050-01-02 16:00:00,-7.3467828
2050-01-02 17:00:00,-7.1096658
2050-01-02 18:00:00,-7.1136127
2050-01-02 19:00:00,-6.6531835
2050-01-02 20:00:00,-6.5196859
2050-01-02 21:00:00,-6.1415375
2050-01-02 22:00:00,-5.95859
2050-01-02 23:00:00,-5.2274122
2050-01-03 00:00:00,-5.2389874
2050-01-03 01:00:00,-5.0918107
2050-01-03 02:00:00,-5.1341664
2050-01-03 03:00:00,-5.2709262
2050-01-03 04:00:00,-5.5150561
2050-01-03 05:00:00,-6.8960053
2050-01-03 06:00:00,-8.6823315
2050-01-03 07:00:00,-10.147263
2050-01-03 08:00:00,-8.8483453
2050-01-03 09:00:00,-8.1064807
2050-01-03 10:00:00,-8.2863177
2050-01-03 11:00:00,-8.1909399
2050-01-03 12:00:00,-8.1130312
2050-01-03 13:00:00,-7.9991912
2050-01-03 14:00:00,-7.8394014
2050-01-03 15:00:00,-7.6424108
2050-01-03 16:00:00,-7.3175405
2050-01-03 17:00:00,-7.2014084
2050-01-03 18:00:00,-7.1656298
2050-01-03 19:00:00,-7.135499
2050-01-03 20:00:00,-7.126542
2050-01-03 21:00:00,-6.8738526
2050-01-03 22:00:00,-6.8329343
2050-01-03 23:00:00,-5.6801933
2050-01-04 00:00:00,-5.1159818
2050-01-04 01:00:00,-5.0318331
2050-01-04 02:00:00,-5.0454054
2050-01-04 03:00:00,-5.1809383
2050-01-04 04:00:00,-5.4041288
2050-01-04 05:00:00,-6.6762064
2050-01-04 06:00:00,-8.4255881
2050-01-04 07:00:00,-9.9861297
2050-01-04 08:00:00,-8.7622871
2050-01-04 09:00:00,-8.097764
2050-01-04 10:00:00,-8.2975242
2050-01-04 11:00:00,-8.2506674
2050-01-04 12:00:00,-8.2433407
2050-01-04 13:00:00,-8.1572213
2050-01-04 14:00:00,-8.0046786
2050-01-04 15:00:00,-7.7928563
2050-01-04 16:00:00,-7.4248194
2050-01-04 17:00:00,-7.216384
2050-01-04 18:00:00,-7.1568536
2050-01-04 19:00:00,-7.0696313
2050-01-04 20:00:00,-6.9965687
2050-01-04 21:00:00,-6.6759053
2050-01-04 22:00:00,-6.5278093
2050-01-04 23:00:00,-5.3727545
2050-01-05 00:00:00,-4.9941398
2050-01-05 01:00:00,-4.9081801
2050-01-05 02:00:00,-4.9127312
2050-01-05 03:00:00,-4.9296355
2050-01-05 04:00:00,-5.1976596
2050-01-05 05:00:00,-6.4022483
2050-01-05 06:00:00,-8.1874803
2050-01-05 07:00:00,-9.6524168
2050-01-05 08:00:00,-8.4606868
2050-01-05 09:00:00,-7.8346652
2050-01-05 10:00:00,-8.0950886
2050-01-05 11:00:00,-8.0742722
2050-01-05 12:00:00,-8.1274793
2050-01-05 13:00:00,-8.0568098
2050-01-05 14:00:00,-7.9619691
2050-01-05 15:00:00,-7.7643325
2050-01-05 16:00:00,-7.4368697
2050-01-05 17:00:00,-7.2598437
2050-01-05 18:00:00,-7.264857
2050-01-05 19:00:00,-7.2342384
2050-01-05 20:00:00,-7.229043
2050-01-05 21:00:00,-6.9215242
2050-01-05 22:00:00,-6.7948203
2050-01-05 23:00:00,-5.6483025
2050-01-06 00:00:00,-4.9507379
2050-01-06 01:00:00,-4.9025156
2050-01-06 02:00:00,-4.9554754
2050-01-06 03:00:00,-5.0757779
2050-01-06 04:00:00,-5.3179899
2050-01-06 05:00:00,-6.4544198
2050-01-06 06:00:00,-7.4663122
2050-01-06 07:00:00,-7.732533
2050-01-06 08:00:00,-6.7806557
2050-01-06 09:00:00,-6.2902121
2050-01-06 10:00:00,-7.7332752
2050-01-06 11:00:00,-7.7790015
2050-01-06 12:00:00,-7.7130063
2050-01-06 13:00:00,-7.6839733
2050-01-06 14:00:00,-7.5721046
2050-01-06 15:00:00,-7.3521076
2050-01-06 16:00:00,-6.8093701
2050-01-06 17:00:00,-6.4805728
2050-01-06 18:00:00,-6.6778697
2050-01-06 19:00:00,-6.8419709
2050-01-06 20:00:00,-6.5655377
2050-01-06 21:00:00,-6.2018479
2050-01-06 22:00:00,-6.0959795
2050-01-06 23:00:00,-5.2021617
2050-01-07 00:00:00,-4.9176974
2050-01-07 01:00:00,-4.8869086
2050-01-07 02:00:00,-4.9574876
2050-01-07 03:00:00,-5.0760558
2050-01-07 04:00:00,-5.3038538
2050-01-07 05:00:00,-6.5024445
2050-01-07 06:00:00,-7.5972213
2050-01-07 07:00:00,-7.9285134
2050-01-07 08:00:00,-6.9698832
2050-01-07 09:00:00,-6.3858946
2050-01-07 10:00:00,-7.0519017
2050-01-07 11:00:00,-7.0987995
2050-01-07 12:00:00,-7.3290241
2050-01-07 13:00:00,-7.3492518
2050-01-07 14:00:00,-7.3379006
2050-01-07 15:00:00,-7.2281741
2050-01-07 16:00:00,-7.110895
2050-01-07 17:00:00,-6.975525
2050-01-07 18:00:00,-7.0572434
2050-01-07 19:00:00,-6.9484473
2050-01-07 20:00:00,-6.5727819
2050-01-07 21:00:00,-6.1609231
2050-01-07 22:00:00,-5.96292
2050-01-07 23:00:00,-5.0027207
2050-01-08 00:00:00,-4.7844479
2050-01-08 01:00:00,-4.7015082
2050-01-08 02:00:00,-4.7264496
2050-01-08 03:00:00,-4.8269157
2050-01-08 04:00:00,-5.0568205
2050-01-08 05:00:00,-6.1880712
2050-01-08 06:00:00,-7.2135337
2050-01-08 07:00:00,-8.9278047
2050-01-08 08:00:00,-8.1845872
2050-01-08 09:00:00,-7.8597313
2050-01-08 10:00:00,-7.9998993
2050-01-08 11:00:00,-7.8677903
2050-01-08 12:00:00,-7.8199377
2050-01-08 13:00:00,-7.8148217
2050-01-08 14:00:00,-7.6790367
2050-01-08 15:00:00,-7.4831105
2050-01-08 16:00:00,-7.1680008
2050-01-08 17:00:00,-6.8711364
2050-01-08 18:00:00,-6.9327251
2050-01-08 19:00:00,-7.0646588
2050-01-08 20:00:00,-6.8306268
2050-01-08 21:00:00,-6.4680979
2050-01-08 22:00:00,-6.2772115
2050-01-08 23:00:00,-5.4960091
2050-01-09 00:00:00,-5.2478045
2050-01-09 01:00:00,-5.1774789
2050-01-09 02:00:00,-5.2402259
2050-01-09 03:00:00,-5.3808749
2050-01-09 04:00:00,-5.6396405
2050-01-09 05:00:00,-6.7340355
2050-01-09 06:00:00,-7.7675884
2050-01-09 07:00:00,-8.8810709
2050-01-09 08:00:00,-7.9251266
2050-01-09 09:00:00,-7.4572876
2050-01-09 10:00:00,-7.6455465
2050-01-09 11:00:00,-7.5087615
2050-01-09 12:00:00,-7.4859867
2050-01-09 13:00:00,-7.4952401
2050-01-09 14:00:00,-7.366571
2050-01-09 15:00:00,-7.1387119
2050-01-09 16:00:00,-6.8076613
2050-01-09 17:00:00,-6.7974916
2050-01-09 18:00:00,-6.9438068
2050-01-09 19:00:00,-7.0923635
2050-01-09 20:00:00,-6.9278068
2050-01-09 21:00:00,-6.5779918
2050-01-09 22:00:00,-6.3699999
2050-01-09 23:00:00,-5.6249512
2050-01-10 00:00:00,-5.4792771
2050-01-10 01:00:00,-5.4966105
2050-01-10 02:00:00,-5.5562638
2050-01-10 03:00:00,-5.7237379
2050-01-10 04:00:00,-5.9835833
2050-01-10 05:00:00,-7.1207454
2050-01-10 06:00:00,-8.158709
2050-01-10 07:00:00,-9.6045995
2050-01-10 08:00:00,-8.534602
2050-01-10 09:00:00,-7.9656994
2050-01-10 10:00:00,-8.1162325
2050-01-10 11:00:00,-7.9783003
2050-01-10 12:00:00,-7.9179373
2050-01-10 13:00:00,-7.8500272
2050-01-10 14:00:00,-7.6815609
2050-01-10 15:00:00,-7.4003095
2050-01-10 16:00:00,-7.0829913
2050-01-10 17:00:00,-6.9074642
2050-01-10 18:00:00,-7.023416
2050-01-10 19:00:00,-7.1994602
2050-01-10 20:00:00,-6.986533
2050-01-10 21:00:00,-6.6450393
2050-01-10 22:00:00,-6.4780732
2050-01-10 23:00:00,-5.743765
2050-01-11 00:00:00,-5.4973058
2050-01-11 01:00:00,-4.8347259
2050-01-11 02:00:00,-5.4402153
2050-01-11 03:00:00,-4.9124095
2050-01-11 04:00:00,-5.1243138
2050-01-11 05:00:00,-6.795614
2050-01-11 06:00:00,-7.7958129
2050-01-11 07:00:00,-8.6743686
2050-01-11 08:00:00,-7.7761236
