time,NL
2050-01-01 00:00:00,-9.4713208
2050-01-01 01:00:00,-9.4713208
2050-01-01 02:00:00,-9.6623841
2050-01-01 03:00:00,-9.4713208
2050-01-01 04:00:00,-9.4713208
2050-01-01 05:00:00,-9.6505725
2050-01-01 06:00:00,-9.8165761
2050-01-01 07:00:00,-9.8511752
2050-01-01 08:00:00,-9.69243
2050-01-01 09:00:00,-9.5909687
2050-01-01 10:00:00,-9.5921923
2050-01-01 11:00:00,-9.5933758
2050-01-01 12:00:00,-9.5944126
2050-01-01 13:00:00,-9.5951974
2050-01-01 14:00:00,-9.5956435
2050-01-01 15:00:00,-9.5957006
2050-01-01 16:00:00,-9.5953629
2050-01-01 17:00:00,-9.5946705
2050-01-01 18:00:00,-9.6263729
2050-01-01 19:00:00,-10.1167005
2050-01-01 20:00:00,-9.6391784
2050-01-01 21:00:00,-9.5901704
2050-01-01 22:00:00,-9.5884441
2050-01-01 23:00:00,-9.4713208
2050-01-02 00:00:00,-9.4713208
2050-01-02 01:00:00,-9.4713208
2050-01-02 02:00:00,-9.4713208
2050-01-02 03:00:00,-9.4713208
2050-01-02 04:00:00,-9.4713208
2050-01-02 05:00:00,-9.6508227
2050-01-02 06:00:00,-9.8170575
2050-01-02 07:00:00,-10.8110163
2050-01-02 08:00:00,-10.5995652
2050-01-02 09:00:00,-10.5126795
2050-01-02 10:00:00,-10.5705865
2050-01-02 11:00:00,-10.5664666
2050-01-02 12:00:00,-10.5277442
2050-01-02 13:00:00,-10.5636107
2050-01-02 14:00:00,-10.5316566
2050-01-02 15:00:00,-10.4207642
2050-01-02 16:00:00,-10.3914979
2050-01-02 17:00:00,-10.3209513
2050-01-02 18:00:00,-10.3082468
2050-01-02 19:00:00,-9.671069
2050-01-02 20:00:00,-9.6394106
2050-01-02 21:00:00,-9.5903349
2050-01-02 22:00:00,-9.5886062
2050-01-02 23:00:00,-9.4713208
2050-01-03 00:00:00,-9.4851998
2050-01-03 01:00:00,-9.4713208
2050-01-03 02:00:00,-9.4713208
2050-01-03 03:00:00,-9.4713208
2050-01-03 04:00:00,-9.474732
2050-01-03 05:00:00,-9.7240028
2050-01-03 06:00:00,-10.0780796
2050-01-03 07:00:00,-10.3728846
2050-01-03 08:00:00,-10.1200018
2050-01-03 09:00:00,-9.9921168
2050-01-03 10:00:00,-10.0421629
2050-01-03 11:00:00,-10.0395355
2050-01-03 12:00:00,-10.0379212
2050-01-03 13:00:00,-10.0178676
2050-01-03 14:00:00,-9.9772703
2050-01-03 15:00:00,-9.922584
2050-01-03 16:00:00,-9.8316547
2050-01-03 17:00:00,-9.7860832
2050-01-03 18:00:00,-9.7751672
2050-01-03 19:00:00,-9.77725
2050-01-03 20:00:00,-9.7958281
2050-01-03 21:00:00,-9.7650349
2050-01-03 22:00:00,-9.7782873
2050-01-03 23:00:00,-9.5712565
2050-01-04 00:00:00,-9.4713208
2050-01-04 01:00:00,-9.4713208
2050-01-04 02:00:00,-9.4713208
2050-01-04 03:00:00,-9.4713208
2050-01-04 04:00:00,-9.4713208
2050-01-04 05:00:00,-9.6894281
2050-01-04 06:00:00,-10.0395391
2050-01-04 07:00:00,-10.3405059
2050-01-04 08:00:00,-10.0941055
2050-01-04 09:00:00,-9.97499
2050-01-04 10:00:00,-10.0369814
2050-01-04 11:00:00,-10.0389849
2050-01-04 12:00:00,-10.0435849
2050-01-04 13:00:00,-10.0260652
2050-01-04 14:00:00,-9.986905
2050-01-04 15:00:00,-9.927032
2050-01-04 16:00:00,-9.8308552
2050-01-04 17:00:00,-9.7766772
2050-01-04 18:00:00,-9.7629374
2050-01-04 19:00:00,-9.7603925
2050-01-04 20:00:00,-9.7729239
2050-01-04 21:00:00,-9.7318306
2050-01-04 22:00:00,-9.7288634
2050-01-04 23:00:00,-9.5185108
2050-01-05 00:00:00,-9.4713208
2050-01-05 01:00:00,-9.4713208
2050-01-05 02:00:00,-9.4713208
2050-01-05 03:00:00,-9.4713208
2050-01-05 04:00:00,-9.4713208
2050-01-05 05:00:00,-9.6823756
2050-01-05 06:00:00,-10.0439796
2050-01-05 07:00:00,-10.345276
2050-01-05 08:00:00,-10.0962666
2050-01-05 09:00:00,-9.9751927
2050-01-05 10:00:00,-10.0392293
2050-01-05 11:00:00,-10.0463921
2050-01-05 12:00:00,-10.0565578
2050-01-05 13:00:00,-10.03941
2050-01-05 14:00:00,-10.0085664
2050-01-05 15:00:00,-9.9483834
2050-01-05 16:00:00,-9.8598123
2050-01-05 17:00:00,-9.8089458
