time,NL
2050-01-01 00:00:00,-0.4897372
2050-01-01 01:00:00,-0.4807603
2050-01-01 02:00:00,-0.5148761
2050-01-01 03:00:00,-0.6023473
2050-01-01 04:00:00,-0.7358309
2050-01-01 05:00:00,-1.1185105
2050-01-01 06:00:00,-1.4478694
2050-01-01 07:00:00,-1.5214969
2050-01-01 08:00:00,-1.146956
2050-01-01 09:00:00,-0.9096349
2050-01-01 10:00:00,-0.9635176
2050-01-01 11:00:00,-0.919997
2050-01-01 12:00:00,-0.9181602
2050-01-01 13:00:00,-0.9267437
2050-01-01 14:00:00,-0.9351959
2050-01-01 15:00:00,-0.9669799
2050-01-01 16:00:00,-0.9934635
2050-01-01 17:00:00,-0.9856706
2050-01-01 18:00:00,-1.0080273
2050-01-01 19:00:00,-0.9770674
2050-01-01 20:00:00,-0.866536
2050-01-01 21:00:00,-0.7327381
2050-01-01 22:00:00,-0.6645046
2050-01-01 23:00:00,-0.4342912
2050-01-02 00:00:00,-0.4225713
2050-01-02 01:00:00,-0.3936403
2050-01-02 02:00:00,-0.4245012
2050-01-02 03:00:00,-0.5061041
2050-01-02 04:00:00,-0.6695359
2050-01-02 05:00:00,-1.1328806
2050-01-02 06:00:00,-1.562146
2050-01-02 07:00:00,-2.0582509
2050-01-02 08:00:00,-1.7114963
2050-01-02 09:00:00,-1.514472
2050-01-02 10:00:00,-1.5534182
2050-01-02 11:00:00,-1.5004782
2050-01-02 12:00:00,-1.4793366
2050-01-02 13:00:00,-1.4812913
2050-01-02 14:00:00,-1.4678818
2050-01-02 15:00:00,-1.4543147
2050-01-02 16:00:00,-1.4166873
2050-01-02 17:00:00,-1.3753922
2050-01-02 18:00:00,-1.4164843
2050-01-02 19:00:00,-1.4318426
2050-01-02 20:00:00,-1.3350337
2050-01-02 21:00:00,-1.165533
2050-01-02 22:00:00,-1.0188646
2050-01-02 23:00:00,-0.6848044
2050-01-03 00:00:00,-0.6543881
2050-01-03 01:00:00,-0.6054345
2050-01-03 02:00:00,-0.6700448
2050-01-03 03:00:00,-0.8202935
2050-01-03 04:00:00,-1.0526646
2050-01-03 05:00:00,-1.5810519
2050-01-03 06:00:00,-2.1881031
2050-01-03 07:00:00,-2.6396981
2050-01-03 08:00:00,-2.1491633
2050-01-03 09:00:00,-1.8251874
2050-01-03 10:00:00,-1.8105419
2050-01-03 11:00:00,-1.734407
2050-01-03 12:00:00,-1.6860732
2050-01-03 13:00:00,-1.6487608
2050-01-03 14:00:00,-1.6039496
2050-01-03 15:00:00,-1.5706669
2050-01-03 16:00:00,-1.4967798
2050-01-03 17:00:00,-1.4668681
2050-01-03 18:00:00,-1.4756591
2050-01-03 19:00:00,-1.4411618
2050-01-03 20:00:00,-1.4043487
2050-01-03 21:00:00,-1.2815831
2050-01-03 22:00:00,-1.1971631
2050-01-03 23:00:00,-0.7986752
2050-01-04 00:00:00,-0.5853828
2050-01-04 01:00:00,-0.536528
2050-01-04 02:00:00,-0.5845747
2050-01-04 03:00:00,-0.7175621
2050-01-04 04:00:00,-0.9458685
2050-01-04 05:00:00,-1.452198
2050-01-04 06:00:00,-2.0784039
2050-01-04 07:00:00,-2.5652278
2050-01-04 08:00:00,-2.1034689
2050-01-04 09:00:00,-1.8075959
2050-01-04 10:00:00,-1.8187844
2050-01-04 11:00:00,-1.7535321
2050-01-04 12:00:00,-1.7314448
2050-01-04 13:00:00,-1.7099687
2050-01-04 14:00:00,-1.6789767
2050-01-04 15:00:00,-1.6521275
2050-01-04 16:00:00,-1.5776212
2050-01-04 17:00:00,-1.5365906
2050-01-04 18:00:00,-1.5360334
2050-01-04 19:00:00,-1.4849129
2050-01-04 20:00:00,-1.4252834
2050-01-04 21:00:00,-1.2745027
2050-01-04 22:00:00,-1.1557874
2050-01-04 23:00:00,-0.7411904
2050-01-05 00:00:00,-0.5894124
2050-01-05 01:00:00,-0.5173972
2050-01-05 02:00:00,-0.533668
2050-01-05 03:00:00,-0.6225251
2050-01-05 04:00:00,-0.8103177
2050-01-05 05:00:00,-1.298929
2050-01-05 06:00:00,-1.9225931
2050-01-05 07:00:00,-2.4290904
2050-01-05 08:00:00,-1.9880601
2050-01-05 09:00:00,-1.7094783
2050-01-05 10:00:00,-1.7422496
2050-01-05 11:00:00,-1.6986718
2050-01-05 12:00:00,-1.6956038
2050-01-05 13:00:00,-1.6860761
2050-01-05 14:00:00,-1.6793605
2050-01-05 15:00:00,-1.6667787
2050-01-05 16:00:00,-1.6192421
2050-01-05 17:00:00,-1.6004568
2050-01-05 18:00:00,-1.6223502
2050-01-05 19:00:00,-1.5886015
2050-01-05 20:00:00,-1.5422136
2050-01-05 21:00:00,-1.391078
2050-01-05 22:00:00,-1.2733381
2050-01-05 23:00:00,-0.8400219
2050-01-06 00:00:00,-0.5431966
2050-01-06 01:00:00,-0.4818732
2050-01-06 02:00:00,-0.5561704
2050-01-06 03:00:00,-0.6886114
2050-01-06 04:00:00,-0.9107193
2050-01-06 05:00:00,-1.4222143
2050-01-06 06:00:00,-1.8025182
2050-01-06 07:00:00,-1.8442642
2050-01-06 08:00:00,-1.4536665
2050-01-06 09:00:00,-1.3094562
2050-01-06 10:00:00,-1.6577015
2050-01-06 11:00:00,-1.6167574
2050-01-06 12:00:00,-1.5769342
2050-01-06 13:00:00,-1.5672769
2050-01-06 14:00:00,-1.5593877
2050-01-06 15:00:00,-1.5359349
2050-01-06 16:00:00,-1.4206899
2050-01-06 17:00:00,-1.3581966
2050-01-06 18:00:00,-1.4420214
2050-01-06 19:00:00,-1.4632395
2050-01-06 20:00:00,-1.3296737
2050-01-06 21:00:00,-1.1686083
2050-01-06 22:00:00,-1.0868596
2050-01-06 23:00:00,-0.7216198
2050-01-07 00:00:00,-0.54389
2050-01-07 01:00:00,-0.485883
2050-01-07 02:00:00,-0.5534817
2050-01-07 03:00:00,-0.6566759
2050-01-07 04:00:00,-0.8603879
2050-01-07 05:00:00,-1.3797386
2050-01-07 06:00:00,-1.7855416
2050-01-07 07:00:00,-1.8014262
