time,NL
2050-01-01 00:00:00,-13.0989822
2050-01-01 01:00:00,-13.0973201
2050-01-01 02:00:00,-13.0762149
2050-01-01 03:00:00,-13.0600698
2050-01-01 04:00:00,-13.0551457
2050-01-01 05:00:00,-13.0494533
2050-01-01 06:00:00,-13.0481454
2050-01-01 07:00:00,-13.0070591
2050-01-01 08:00:00,-13.0066205
2050-01-01 09:00:00,-13.0128602
2050-01-01 10:00:00,-13.0256071
2050-01-01 11:00:00,-13.0403354
2050-01-01 12:00:00,-13.0463394
2050-01-01 13:00:00,-13.0504191
2050-01-01 14:00:00,-13.0505432
2050-01-01 15:00:00,-13.046755
2050-01-01 16:00:00,-13.0488503
2050-01-01 17:00:00,-13.0469471
2050-01-01 18:00:00,-13.0523273
2050-01-01 19:00:00,-13.3920592
2050-01-01 20:00:00,-13.0451966
2050-01-01 21:00:00,-13.0444206
2050-01-01 22:00:00,-13.0294348
2050-01-01 23:00:00,-13.0192542
2050-01-02 00:00:00,-13.009346
2050-01-02 01:00:00,-13.0125208
2050-01-02 02:00:00,-13.0130145
2050-01-02 03:00:00,-13.0111383
2050-01-02 04:00:00,-13.0104752
2050-01-02 05:00:00,-13.006788
2050-01-02 06:00:00,-13.0041456
2050-01-02 07:00:00,-14.1550611
2050-01-02 08:00:00,-14.1991799
2050-01-02 09:00:00,-14.2589234
2050-01-02 10:00:00,-14.2815325
2050-01-02 11:00:00,-14.2957835
2050-01-02 12:00:00,-13.6823093
2050-01-02 13:00:00,-13.7188044
2050-01-02 14:00:00,-13.670426
2050-01-02 15:00:00,-13.614629
2050-01-02 16:00:00,-14.2804641
2050-01-02 17:00:00,-14.2724623
2050-01-02 18:00:00,-13.6909042
2050-01-02 19:00:00,-13.1244516
2050-01-02 20:00:00,-13.153687
2050-01-02 21:00:00,-13.1366416
2050-01-02 22:00:00,-13.1283101
2050-01-02 23:00:00,-13.1277146
2050-01-03 00:00:00,-13.122577
2050-01-03 01:00:00,-13.1067195
2050-01-03 02:00:00,-13.0955199
2050-01-03 03:00:00,-13.0853437
2050-01-03 04:00:00,-13.0774188
2050-01-03 05:00:00,-13.076862
2050-01-03 06:00:00,-13.0917332
2050-01-03 07:00:00,-13.1235884
2050-01-03 08:00:00,-13.1305402
2050-01-03 09:00:00,-13.1333025
2050-01-03 10:00:00,-14.301637
2050-01-03 11:00:00,-14.3011948
2050-01-03 12:00:00,-13.1387646
2050-01-03 13:00:00,-13.1334078
2050-01-03 14:00:00,-13.1383841
2050-01-03 15:00:00,-13.1410101
2050-01-03 16:00:00,-13.1542934
2050-01-03 17:00:00,-13.1772684
2050-01-03 18:00:00,-13.1709583
2050-01-03 19:00:00,-13.1692583
2050-01-03 20:00:00,-13.159977
2050-01-03 21:00:00,-13.1511675
2050-01-03 22:00:00,-13.1552087
2050-01-03 23:00:00,-13.1220741
2050-01-04 00:00:00,-13.1256898
2050-01-04 01:00:00,-13.1125429
2050-01-04 02:00:00,-13.0967691
2050-01-04 03:00:00,-13.0937781
2050-01-04 04:00:00,-13.084726
2050-01-04 05:00:00,-13.0866107
2050-01-04 06:00:00,-13.0827248
2050-01-04 07:00:00,-13.1308467
2050-01-04 08:00:00,-13.1480461
2050-01-04 09:00:00,-13.1594679
2050-01-04 10:00:00,-13.1587313
2050-01-04 11:00:00,-13.1656777
2050-01-04 12:00:00,-13.1664722
2050-01-04 13:00:00,-13.16244
2050-01-04 14:00:00,-13.1624999
2050-01-04 15:00:00,-13.162389
2050-01-04 16:00:00,-13.1646241
2050-01-04 17:00:00,-13.164974
2050-01-04 18:00:00,-13.1564496
2050-01-04 19:00:00,-13.1441624
2050-01-04 20:00:00,-13.1260188
2050-01-04 21:00:00,-13.1143059
2050-01-04 22:00:00,-13.1093808
2050-01-04 23:00:00,-13.0864673
2050-01-05 00:00:00,-13.0733367
2050-01-05 01:00:00,-13.0699123
2050-01-05 02:00:00,-13.0652493
2050-01-05 03:00:00,-13.0369151
2050-01-05 04:00:00,-13.0609158
2050-01-05 05:00:00,-13.0573164
2050-01-05 06:00:00,-13.0495405
2050-01-05 07:00:00,-13.0487918
2050-01-05 08:00:00,-13.0704215
2050-01-05 09:00:00,-13.0899396
2050-01-05 10:00:00,-13.1005914
2050-01-05 11:00:00,-13.1080813
2050-01-05 12:00:00,-13.1171194
2050-01-05 13:00:00,-13.1137898
2050-01-05 14:00:00,-13.1165769
2050-01-05 15:00:00,-13.1164892
2050-01-05 16:00:00,-13.1140716
2050-01-05 17:00:00,-13.1135176
2050-01-05 18:00:00,-13.115668
2050-01-05 19:00:00,-13.11497
2050-01-05 20:00:00,-13.1136028
2050-01-05 21:00:00,-13.1060734
2050-01-05 22:00:00,-13.1000395
2050-01-05 23:00:00,-13.0969785
2050-01-06 00:00:00,-13.0759646
2050-01-06 01:00:00,-13.0832863
2050-01-06 02:00:00,-13.0721474
2050-01-06 03:00:00,-13.0641036
2050-01-06 04:00:00,-13.0654957
2050-01-06 05:00:00,-13.0411682
2050-01-06 06:00:00,-13.0401833
2050-01-06 07:00:00,-13.0649256
2050-01-06 08:00:00,-13.0788623
2050-01-06 09:00:00,-13.0877967
2050-01-06 10:00:00,-13.1052741
2050-01-06 11:00:00,-13.1239284
2050-01-06 12:00:00,-13.1226594
2050-01-06 13:00:00,-13.1291694
2050-01-06 14:00:00,-13.1213645
2050-01-06 15:00:00,-13.1240015
2050-01-06 16:00:00,-13.1242329
2050-01-06 17:00:00,-13.1292732
2050-01-06 18:00:00,-13.1291738
2050-01-06 19:00:00,-13.1245355
2050-01-06 20:00:00,-13.1214877
2050-01-06 21:00:00,-13.1207115
2050-01-06 22:00:00,-13.1180883
2050-01-06 23:00:00,-13.1007853
2050-01-07 00:00:00,-13.0631109
2050-01-07 01:00:00,-13.0744809
2050-01-07 02:00:00,-13.073748
2050-01-07 03:00:00,-13.0765855
2050-01-07 04:00:00,-13.0807436
2050-01-07 05:00:00,-13.06597
2050-01-07 06:00:00,-13.0766687
2050-01-07 07:00:00,-13.1388817
2050-01-07 08:00:00,-13.161281
2050-01-07 09:00:00,-13.1689162
2050-01-07 10:00:00,-13.1727434
2050-01-07 11:00:00,-13.1738449
2050-01-07 12:00:00,-13.1755248
2050-01-07 13:00:00,-13.1792905
2050-01-07 14:00:00,-13.1726635
2050-01-07 15:00:00,-13.1663723
2050-01-07 16:00:00,-13.1663855
2050-01-07 17:00:00,-13.1679164
2050-01-07 18:00:00,-13.1613632
2050-01-07 19:00:00,-13.1376143
2050-01-07 20:00:00,-13.103358
2050-01-07 21:00:00,-13.0862202
2050-01-07 22:00:00,-13.0785743
2050-01-07 23:00:00,-13.0557273
2050-01-08 00:00:00,-13.0370001
2050-01-08 01:00:00,-13.0257724
2050-01-08 02:00:00,-13.0191369
2050-01-08 03:00:00,-13.0096336
2050-01-08 04:00:00,-13.0090422
2050-01-08 05:00:00,-13.0166338
2050-01-08 06:00:00,-13.0273262
2050-01-08 07:00:00,-13.8036476
2050-01-08 08:00:00,-13.1041406
2050-01-08 09:00:00,-14.2791086
2050-01-08 10:00:00,-14.2603321
2050-01-08 11:00:00,-14.2419522
2050-01-08 12:00:00,-14.2285238
2050-01-08 13:00:00,-14.2347105
2050-01-08 14:00:00,-14.2317937
2050-01-08 15:00:00,-14.2320574
2050-01-08 16:00:00,-14.2335555
2050-01-08 17:00:00,-14.2332467
2050-01-08 18:00:00,-14.2303318
2050-01-08 19:00:00,-14.2201354
2050-01-08 20:00:00,-14.2073252
2050-01-08 21:00:00,-14.1945255
2050-01-08 22:00:00,-14.1802855
2050-01-08 23:00:00,-14.1588686
2050-01-09 00:00:00,-14.1413786
2050-01-09 01:00:00,-14.131159
2050-01-09 02:00:00,-14.1333553
2050-01-09 03:00:00,-14.1349146
2050-01-09 04:00:00,-14.145162
2050-01-09 05:00:00,-14.1412687
2050-01-09 06:00:00,-14.1709352
2050-01-09 07:00:00,-14.2373942
2050-01-09 08:00:00,-14.2792704
2050-01-09 09:00:00,-14.2903185
2050-01-09 10:00:00,-14.2979776
2050-01-09 11:00:00,-14.2807217
2050-01-09 12:00:00,-14.2774866
2050-01-09 13:00:00,-14.2779466
2050-01-09 14:00:00,-14.2810792
2050-01-09 15:00:00,-14.2857016
2050-01-09 16:00:00,-14.2870577
2050-01-09 17:00:00,-14.2904248
2050-01-09 18:00:00,-14.3009313
2050-01-09 19:00:00,-14.3002437
2050-01-09 20:00:00,-14.3187892
2050-01-09 21:00:00,-14.30923
2050-01-09 22:00:00,-14.283174
2050-01-09 23:00:00,-14.2651603
2050-01-10 00:00:00,-14.2405935
2050-01-10 01:00:00,-14.2593249
2050-01-10 02:00:00,-14.2560464
2050-01-10 03:00:00,-14.2604022
2050-01-10 04:00:00,-14.2605453
2050-01-10 05:00:00,-14.2598558
2050-01-10 06:00:00,-14.2735179
2050-01-10 07:00:00,-14.3185684
2050-01-10 08:00:00,-14.3215673
2050-01-10 09:00:00,-14.3206753
2050-01-10 10:00:00,-14.3309118
2050-01-10 11:00:00,-14.3305706
2050-01-10 12:00:00,-14.3313184
2050-01-10 13:00:00,-14.3316372
2050-01-10 14:00:00,-14.3284726
2050-01-10 15:00:00,-14.3085784
2050-01-10 16:00:00,-14.3254633
2050-01-10 17:00:00,-14.3228242
2050-01-10 18:00:00,-14.3193049
2050-01-10 19:00:00,-14.3321197
2050-01-10 20:00:00,-14.3302494
2050-01-10 21:00:00,-14.3245575
2050-01-10 22:00:00,-14.3141873
2050-01-10 23:00:00,-14.3023837
2050-01-11 00:00:00,-14.265208
2050-01-11 01:00:00,-14.262196
2050-01-11 02:00:00,-14.2541664
2050-01-11 03:00:00,-13.2253455
2050-01-11 04:00:00,-13.2186298
2050-01-11 05:00:00,-14.2388212
2050-01-11 06:00:00,-14.2477937
2050-01-11 07:00:00,-14.2793929
2050-01-11 08:00:00,-14.3106709
2050-01-11 09:00:00,-14.3053475
2050-01-11 10:00:00,-14.3043133
2050-01-11 11:00:00,-14.2996899
2050-01-11 12:00:00,-14.3017839
2050-01-11 13:00:00,-14.2957979
2050-01-11 14:00:00,-14.2858483
2050-01-11 15:00:00,-14.2875647
2050-01-11 16:00:00,-14.2915243
2050-01-11 17:00:00,-14.2996005
2050-01-11 18:00:00,-14.3040049
2050-01-11 19:00:00,-14.2955054
2050-01-11 20:00:00,-14.2776705
2050-01-11 21:00:00,-14.2364298
2050-01-11 22:00:00,-14.2324604
2050-01-11 23:00:00,-14.2266363
2050-01-12 00:00:00,-13.0673642
2050-01-12 01:00:00,-13.7455694
2050-01-12 02:00:00,-13.5509182
2050-01-12 03:00:00,-13.73511
2050-01-12 04:00:00,-14.1230221
2050-01-12 05:00:00,-14.1241611
2050-01-12 06:00:00,-14.1276853
2050-01-12 07:00:00,-14.1703952
2050-01-12 08:00:00,-14.1945719
2050-01-12 09:00:00,-13.0648737
2050-01-12 10:00:00,-13.0694907
2050-01-12 11:00:00,-13.0712992
2050-01-12 12:00:00,-13.0704883
2050-01-12 13:00:00,-13.5501669
2050-01-12 14:00:00,-13.4310663
2050-01-12 15:00:00,-13.4350725
2050-01-12 16:00:00,-13.7912839
2050-01-12 17:00:00,-13.3467629
2050-01-12 18:00:00,-13.3945662
2050-01-12 19:00:00,-13.4110627
2050-01-12 20:00:00,-13.4098675
2050-01-12 21:00:00,-13.3552803
2050-01-12 22:00:00,-13.2218268
2050-01-12 23:00:00,-13.1723882
2050-01-13 00:00:00,-14.1373644
2050-01-13 01:00:00,-14.1140312
2050-01-13 02:00:00,-14.1070766
2050-01-13 03:00:00,-14.107188
2050-01-13 04:00:00,-14.0912443
2050-01-13 05:00:00,-14.0871534
2050-01-13 06:00:00,-14.0870353
2050-01-13 07:00:00,-14.1171135
2050-01-13 08:00:00,-12.998125
2050-01-13 09:00:00,-13.0036665
2050-01-13 10:00:00,-14.1473925
2050-01-13 11:00:00,-14.107721
2050-01-13 12:00:00,-13.0197674
2050-01-13 13:00:00,-13.0201355
2050-01-13 14:00:00,-13.0238731
2050-01-13 15:00:00,-13.0277433
2050-01-13 16:00:00,-13.0286611
2050-01-13 17:00:00,-15.6664534
2050-01-13 18:00:00,-16.3671311
2050-01-13 19:00:00,-14.254143
2050-01-13 20:00:00,-14.1619661
2050-01-13 21:00:00,-14.1599305
2050-01-13 22:00:00,-17.217905
2050-01-13 23:00:00,-14.1538933
2050-01-14 00:00:00,-17.2344367
2050-01-14 01:00:00,-14.3875285
2050-01-14 02:00:00,-14.1674032
2050-01-14 03:00:00,-16.7973071
2050-01-14 04:00:00,-15.4522024
2050-01-14 05:00:00,-18.6650697
2050-01-14 06:00:00,-14.8084332
2050-01-14 07:00:00,-14.2189381
2050-01-14 08:00:00,-18.7482926
2050-01-14 09:00:00,-18.7974106
2050-01-14 10:00:00,-18.805678
2050-01-14 11:00:00,-18.4027997
2050-01-14 12:00:00,-14.2973486
2050-01-14 13:00:00,-14.804945
2050-01-14 14:00:00,-18.7881814
2050-01-14 15:00:00,-18.7960722
2050-01-14 16:00:00,-50.5720561
2050-01-14 17:00:00,-50.5766185
2050-01-14 18:00:00,-50.5968357
2050-01-14 19:00:00,-50.5723532
2050-01-14 20:00:00,-50.5728198
2050-01-14 21:00:00,-50.548485
2050-01-14 22:00:00,-50.5340842
2050-01-14 23:00:00,-49.0398893
2050-01-15 00:00:00,-50.5192216
2050-01-15 01:00:00,-50.5036868
2050-01-15 02:00:00,-50.4998417
2050-01-15 03:00:00,-50.4932338
2050-01-15 04:00:00,-50.4849769
2050-01-15 05:00:00,-48.497156
2050-01-15 06:00:00,-50.5025306
2050-01-15 07:00:00,-50.517776
2050-01-15 08:00:00,-50.5477751
2050-01-15 09:00:00,-50.5569267
2050-01-15 10:00:00,-50.5509397
2050-01-15 11:00:00,-50.5432258
2050-01-15 12:00:00,-50.5456716
2050-01-15 13:00:00,-50.5539021
2050-01-15 14:00:00,-50.5390717
2050-01-15 15:00:00,-50.5391719
2050-01-15 16:00:00,-50.5385329
2050-01-15 17:00:00,-50.533281
2050-01-15 18:00:00,-50.5341287
2050-01-15 19:00:00,-50.5298972
2050-01-15 20:00:00,-50.5063592
2050-01-15 21:00:00,-50.4905634
2050-01-15 22:00:00,-50.4840803
