timesteps,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2050-01-01 00:00:00,-1.105072981,-1.007526013,-0.820237745,-2.053096957,-0.36974412,-3.360333408,-1.539676233,-3.924803744,-4.848204798,-0.682701163,-3.903728912,-1.711693026
2050-01-01 01:00:00,-1.100316137,-1.003189065,-0.81670699,-2.044259295,-0.368152538,-3.345868679,-1.533048617,-3.907909224,-4.82733545,-0.679762441,-3.88692511,-1.704324955
2050-01-01 02:00:00,-1.06866847,-0.974335,-0.793216585,-1.985461614,-0.357563609,-3.249633666,-1.488954551,-3.795508609,-4.688489985,-0.660210882,-3.775128047,-1.65530458
2050-01-01 03:00:00,-1.04125424,-0.949340678,-0.772868439,-1.934529165,-0.348391138,-3.166271792,-1.450758848,-3.69814357,-4.568217564,-0.643274691,-3.678285825,-1.612841551
2050-01-01 04:00:00,-1.017988934,-0.928129046,-0.755599822,-1.891304936,-0.340606846,-3.095526072,-1.41834376,-3.615513952,-4.466147413,-0.628901658,-3.596099899,-1.576804961
2050-01-01 05:00:00,-1.020431666,-0.930356154,-0.757412934,-1.895843247,-0.341424155,-3.102953992,-1.42174717,-3.624189617,-4.476864229,-0.630410749,-3.604728978,-1.580588609
2050-01-01 06:00:00,-1.033161895,-0.94196266,-0.766861916,-1.91949453,-0.345683536,-3.141664388,-1.439483945,-3.669402604,-4.532714619,-0.638275335,-3.649699187,-1.600306984
2050-01-01 07:00:00,-1.118811522,-1.020051826,-0.830435145,-2.078621568,-0.374340871,-3.402109906,-1.55881787,-3.973597878,-4.908478883,-0.691188674,-3.952261039,-1.732973218
2050-01-01 08:00:00,-1.218566811,-1.111001519,-0.904478266,-2.263955282,-0.40771779,-3.70544827,-1.697804932,-4.327891158,-5.346127869,-0.752816324,-4.304651887,-1.887488291
2050-01-01 09:00:00,-1.219718422,-1.112051475,-0.905333046,-2.26609484,-0.408103105,-3.708950116,-1.699409448,-4.331981246,-5.351180245,-0.753527776,-4.308720013,-1.889272068
2050-01-01 10:00:00,-1.241914574,-1.132288329,-0.921808086,-2.307332706,-0.41552967,-3.776444726,-1.730334905,-4.410813632,-5.448559776,-0.767240299,-4.387129096,-1.923652601
2050-01-01 11:00:00,-1.232950276,-1.124115328,-0.915154358,-2.290678086,-0.412530324,-3.749185868,-1.717845128,-4.378975818,-5.40923138,-0.761702261,-4.35546224,-1.909767432
2050-01-01 12:00:00,-1.231818706,-1.123083643,-0.914314453,-2.28857576,-0.412151715,-3.745744961,-1.716268534,-4.374956907,-5.404266926,-0.76100319,-4.351464909,-1.908014696
2050-01-01 13:00:00,-1.2963706,-1.181937415,-0.96222794,-2.408505665,-0.433750002,-3.942035967,-1.806207406,-4.604220964,-5.687470667,-0.800882595,-4.579497898,-2.008001782
2050-01-01 14:00:00,-1.275876318,-1.163252203,-0.947016109,-2.370429673,-0.426892861,-3.879716442,-1.777653129,-4.531432978,-5.597557619,-0.788221467,-4.507100758,-1.976257344
2050-01-01 15:00:00,-1.379152424,-1.257411923,-1.023672548,-2.562304656,-0.461447803,-4.193760994,-1.921545676,-4.898230877,-6.050653226,-0.852024238,-4.871929079,-2.136225956
2050-01-01 16:00:00,-1.356642362,-1.236888869,-1.00696451,-2.520483582,-0.453916208,-4.125311839,-1.890182854,-4.818283601,-5.951896501,-0.838117785,-4.792411093,-2.101359195
2050-01-01 17:00:00,-1.504558007,-1.371747709,-1.116754539,-2.795293631,-0.503407002,-4.57509741,-2.096270783,-5.343624357,-6.600835847,-0.92949834,-5.314930952,-2.330471825
2050-01-01 18:00:00,-1.597314342,-1.45631626,-1.185602704,-2.967624104,-0.534442156,-4.857153183,-2.225506343,-5.673059987,-7.007778844,-0.986802119,-5.642597627,-2.474145931
2050-01-01 19:00:00,-1.615408875,-1.472813553,-1.199033328,-3.001241641,-0.540496369,-4.912175489,-2.250717097,-5.737324966,-7.087163649,-0.99798071,-5.706517525,-2.502173298
2050-01-01 20:00:00,-1.557191743,-1.419735361,-1.155821802,-2.893080985,-0.521017617,-4.735147384,-2.169604322,-5.530559599,-6.831751937,-0.962014847,-5.500862416,-2.411998385
2050-01-01 21:00:00,-1.456605158,-1.328027753,-1.081161653,-2.706202821,-0.487362556,-4.429281197,-2.029459033,-5.17331387,-6.39045587,-0.899873631,-5.145534973,-2.256195685
2050-01-01 22:00:00,-1.38132956,-1.25939688,-1.025288523,-2.566349522,-0.462176247,-4.200381284,-1.924579036,-4.905963246,-6.060204815,-0.853369247,-4.879619929,-2.139598212
2050-01-01 23:00:00,-1.325237431,-1.208256114,-0.983654276,-2.462136877,-0.443408496,-4.029814945,-1.846426988,-4.706745095,-5.814115976,-0.818716186,-4.68147151,-2.052714805
2050-01-02 00:00:00,-1.260183942,-1.148945024,-0.935368481,-2.341275067,-0.421642381,-3.831998677,-1.755789254,-4.475699561,-5.528711624,-0.778526901,-4.45166661,-1.951950778
2050-01-02 01:00:00,-1.221134515,-1.113342567,-0.906384138,-2.268725777,-0.408576913,-3.713256208,-1.701382463,-4.337010678,-5.357392967,-0.754402622,-4.313722438,-1.891465513
2050-01-02 02:00:00,-1.185610299,-1.080954144,-0.880016375,-2.202725919,-0.396690938,-3.605233289,-1.651887279,-4.210842019,-5.201540207,-0.732456177,-4.188231261,-1.836440593
2050-01-02 03:00:00,-1.165962701,-1.063040878,-0.865432993,-2.16622297,-0.390117088,-3.545488384,-1.624512671,-4.141061138,-5.115341756,-0.720318121,-4.118825079,-1.80600762
2050-01-02 04:00:00,-1.147050194,-1.045797814,-0.85139523,-2.131085732,-0.383789191,-3.48797876,-1.598162249,-4.073891022,-5.032368313,-0.708634194,-4.052015643,-1.776713258
2050-01-02 05:00:00,-1.039367766,-0.947620727,-0.771468209,-1.931024316,-0.347759946,-3.160535355,-1.448130462,-3.691443524,-4.559941177,-0.64210925,-3.671621755,-1.609919513
2050-01-02 06:00:00,-1.118239906,-1.019530667,-0.830010864,-2.077559571,-0.374149615,-3.40037172,-1.558021448,-3.971567711,-4.905971072,-0.690835536,-3.950241773,-1.732087818
2050-01-02 07:00:00,-1.167210814,-1.064178817,-0.866359402,-2.168541818,-0.390534691,-3.549283676,-1.626251641,-4.145493965,-5.120817509,-0.72108919,-4.123234104,-1.807940873
2050-01-02 08:00:00,-1.390998217,-1.268212065,-1.03246506,-2.584312761,-0.465411263,-4.229781977,-1.938050184,-4.940302681,-6.102623397,-0.85934243,-4.913774972,-2.154574392
2050-01-02 09:00:00,-1.454558383,-1.32616165,-1.079642439,-2.702400151,-0.48667773,-4.423057311,-2.026607301,-5.166044493,-6.381476204,-0.898609157,-5.13830463,-2.25302535
2050-01-02 10:00:00,-1.434841632,-1.308185336,-1.065007728,-2.665768722,-0.480080742,-4.363102124,-1.999136343,-5.096018007,-6.294974363,-0.886428379,-5.068654161,-2.222485263
2050-01-02 11:00:00,-1.464163014,-1.334918461,-1.086771453,-2.720244436,-0.489891324,-4.452263311,-2.039989242,-5.20015653,-6.423613888,-0.904542786,-5.172233497,-2.267902358
2050-01-02 12:00:00,-1.45297947,-1.324722111,-1.078470495,-2.699466715,-0.486149445,-4.418256115,-2.024407434,-5.16043679,-6.374549158,-0.897633724,-5.132727038,-2.250579707
2050-01-02 13:00:00,-1.43848332,-1.311505565,-1.067710763,-2.672534555,-0.481299207,-4.37417586,-2.004210235,-5.108951913,-6.310951271,-0.888678171,-5.081518617,-2.228126023
2050-01-02 14:00:00,-1.494377352,-1.362465721,-1.109197973,-2.77637916,-0.500000678,-4.544139824,-2.08208628,-5.307466502,-6.556171017,-0.923208851,-5.278967251,-2.314702591
2050-01-02 15:00:00,-1.49109668,-1.35947464,-1.106762902,-2.770284053,-0.498903004,-4.534163873,-2.077515384,-5.295814786,-6.541777966,-0.92118209,-5.267378101,-2.309621022
2050-01-02 16:00:00,-1.461916471,-1.332870226,-1.085103962,-2.716070622,-0.489139658,-4.445431969,-2.036859179,-5.192177656,-6.413757798,-0.903154898,-5.164297466,-2.264422595
2050-01-02 17:00:00,-1.496165653,-1.364096165,-1.110525335,-2.779701615,-0.500599022,-4.549577733,-2.084577884,-5.313817873,-6.564016697,-0.924313642,-5.285284518,-2.317472563
2050-01-02 18:00:00,-1.552217954,-1.415200619,-1.152130019,-2.883840265,-0.519353447,-4.720022963,-2.162674441,-5.512894571,-6.809930802,-0.958942098,-5.483292243,-2.404294279
2050-01-02 19:00:00,-1.569570376,-1.431021309,-1.165009813,-2.916079046,-0.525159359,-4.772788641,-2.186851227,-5.574523852,-6.886059799,-0.969662222,-5.544590596,-2.43117216
