timesteps,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2050-01-01 00:00:00,-0.31655791,-0.28861472,-0.234964343,-0.588127747,-0.105916467,-0.962597167,-0.441053848,-1.124294678,-1.388811061,-0.195565775,-1.118257607,-0.490329577
2050-01-01 01:00:00,-0.315294308,-0.287462659,-0.234026437,-0.585780121,-0.105493681,-0.958754774,-0.439293296,-1.119806838,-1.383267353,-0.194785136,-1.113793865,-0.488372331
2050-01-01 02:00:00,-0.314725056,-0.286943656,-0.233603911,-0.584722518,-0.105303216,-0.95702378,-0.438500169,-1.11778507,-1.380769917,-0.194433459,-1.111782953,-0.487490594
2050-01-01 03:00:00,-0.320534408,-0.292240205,-0.237915889,-0.595515617,-0.107246955,-0.974689001,-0.446594224,-1.138417703,-1.406256855,-0.198022409,-1.132304796,-0.496488938
2050-01-01 04:00:00,-0.330110765,-0.300971238,-0.245023916,-0.613307373,-0.110451089,-1.003809025,-0.459936771,-1.172429322,-1.448270496,-0.20393857,-1.166133784,-0.511322151
2050-01-01 05:00:00,-0.364652411,-0.332463825,-0.27066237,-0.677481731,-0.122008308,-1.108844123,-0.508062961,-1.295108263,-1.599812502,-0.225277995,-1.288153982,-0.564825129
2050-01-01 06:00:00,-0.397903927,-0.362780164,-0.295343227,-0.739259176,-0.133133865,-1.209956158,-0.554391637,-1.413205145,-1.745694412,-0.245820392,-1.405616725,-0.61632977
2050-01-01 07:00:00,-0.397103375,-0.362050278,-0.294749019,-0.737771844,-0.13286601,-1.20752182,-0.553276244,-1.410361885,-1.742182209,-0.245325821,-1.402788732,-0.615089762
2050-01-01 08:00:00,-0.36478166,-0.332581664,-0.270758304,-0.677721859,-0.122051553,-1.109237144,-0.50824304,-1.295567305,-1.600379543,-0.225357843,-1.288610558,-0.565025327
2050-01-01 09:00:00,-0.347836939,-0.317132688,-0.258181126,-0.646240541,-0.116382054,-1.057711217,-0.484634298,-1.235386029,-1.526039227,-0.214889593,-1.228752435,-0.538778952
2050-01-01 10:00:00,-0.372980564,-0.340056835,-0.276843921,-0.692954469,-0.124794808,-1.134168576,-0.51966641,-1.32468673,-1.636349988,-0.23042303,-1.317573622,-0.577724947
2050-01-01 11:00:00,-0.373186444,-0.340244542,-0.276996735,-0.69333697,-0.124863693,-1.134794621,-0.519953259,-1.325417938,-1.63725323,-0.23055022,-1.318300905,-0.578043843
2050-01-01 12:00:00,-0.376172344,-0.34296687,-0.279213012,-0.698884425,-0.125862739,-1.14387422,-0.524113454,-1.336022732,-1.650353048,-0.232394875,-1.328848755,-0.582668827
2050-01-01 13:00:00,-0.381331514,-0.347670631,-0.283042393,-0.708469563,-0.127588935,-1.159562354,-0.531301624,-1.354346166,-1.672987494,-0.23558215,-1.347073798,-0.590660078
2050-01-01 14:00:00,-0.385670607,-0.351626703,-0.286263075,-0.716531092,-0.129040744,-1.172756775,-0.537347196,-1.369756992,-1.692024074,-0.23826279,-1.362401873,-0.597381078
2050-01-01 15:00:00,-0.395293049,-0.360399753,-0.293405309,-0.734408468,-0.132260297,-1.202016934,-0.550753952,-1.403932287,-1.734239899,-0.244207422,-1.396393658,-0.612285673
2050-01-01 16:00:00,-0.401993276,-0.366508538,-0.298378536,-0.746856711,-0.134502112,-1.222391153,-0.560089246,-1.427728975,-1.76363531,-0.248346744,-1.420062567,-0.622663931
2050-01-01 17:00:00,-0.401344364,-0.365916907,-0.297896883,-0.745651109,-0.134284994,-1.220417926,-0.55918513,-1.425424285,-1.760788388,-0.247945854,-1.417770252,-0.621658806
2050-01-01 18:00:00,-0.399981939,-0.364674746,-0.296885626,-0.743119881,-0.133829143,-1.216275029,-0.55728689,-1.420585462,-1.75481112,-0.247104164,-1.412957412,-0.619548489
2050-01-01 19:00:00,-0.461921868,-0.421147115,-0.342860389,-0.858197059,-0.154553498,-1.404623506,-0.643586563,-1.640572803,-2.026555581,-0.285369928,-1.631763497,-0.715489794
2050-01-01 20:00:00,-0.357574893,-0.326011053,-0.265409099,-0.664332527,-0.119640256,-1.08732263,-0.498201996,-1.269971581,-1.568761832,-0.220905587,-1.263152275,-0.55386247
2050-01-01 21:00:00,-0.335450173,-0.305839325,-0.248987079,-0.623227371,-0.112237591,-1.020045228,-0.467376062,-1.191392891,-1.471695683,-0.207237193,-1.184995525,-0.51959258
2050-01-01 22:00:00,-0.322067869,-0.293638304,-0.239054096,-0.598364608,-0.107760033,-0.979351986,-0.448730764,-1.143863979,-1.412984494,-0.198969763,-1.137721827,-0.498864178
2050-01-01 23:00:00,-0.293673447,-0.267750313,-0.217978405,-0.545611078,-0.098259601,-0.893009522,-0.40916938,-1.043017668,-1.28841175,-0.181428021,-1.037417026,-0.45488289
2050-01-02 00:00:00,-0.297656826,-0.271382071,-0.220935058,-0.553011732,-0.099592392,-0.905122279,-0.414719342,-1.057165132,-1.305887733,-0.183888906,-1.051488522,-0.461052909
2050-01-02 01:00:00,-0.291858644,-0.266095707,-0.216631372,-0.542239385,-0.09765239,-0.887491023,-0.406640851,-1.03657217,-1.280449799,-0.180306857,-1.031006137,-0.452071866
2050-01-02 02:00:00,-0.294067161,-0.268109273,-0.218270638,-0.546342552,-0.098391333,-0.894206736,-0.409717933,-1.044415991,-1.290139061,-0.181671253,-1.03880784,-0.455492729
2050-01-02 03:00:00,-0.302033874,-0.275372749,-0.224183912,-0.561143779,-0.101056899,-0.918432118,-0.420817797,-1.072710763,-1.325090834,-0.186592995,-1.066950679,-0.4678327
2050-01-02 04:00:00,-0.318914586,-0.290763367,-0.236713579,-0.592506175,-0.106704982,-0.969763405,-0.444337357,-1.132664703,-1.399150328,-0.197021701,-1.126582687,-0.493979928
2050-01-02 05:00:00,-0.365032328,-0.332810206,-0.270944362,-0.678187573,-0.122135424,-1.109999384,-0.508592292,-1.296457586,-1.601479284,-0.225512703,-1.289496059,-0.565413598
2050-01-02 06:00:00,-0.41696588,-0.380159481,-0.309491916,-0.774674067,-0.139511766,-1.267920221,-0.580950278,-1.480906037,-1.829323508,-0.257596644,-1.472954086,-0.645855615
2050-01-02 07:00:00,-0.465162093,-0.424101319,-0.345265438,-0.86421702,-0.155637638,-1.414476464,-0.648101104,-1.652080864,-2.040771181,-0.287371701,-1.643209764,-0.720508713
2050-01-02 08:00:00,-0.523023643,-0.476855316,-0.388213033,-0.971717043,-0.174997416,-1.590423302,-0.728718452,-1.857583333,-2.294622869,-0.323117889,-1.847608756,-0.810132848
2050-01-02 09:00:00,-0.519390201,-0.473542605,-0.38551612,-0.964966532,-0.173781711,-1.579374643,-0.72365605,-1.844678715,-2.27868214,-0.320873192,-1.834773431,-0.804504861
2050-01-02 10:00:00,-0.526448307,-0.479977678,-0.390754982,-0.97807967,-0.176143268,-1.600837106,-0.733489968,-1.869746453,-2.309647645,-0.325233607,-1.859706564,-0.815437451
2050-01-02 11:00:00,-0.527346173,-0.480796288,-0.39142142,-0.9797478,-0.176443683,-1.603567359,-0.734740947,-1.872935334,-2.313586784,-0.325788298,-1.862878322,-0.816828193
2050-01-02 12:00:00,-0.445116894,-0.405825549,-0.330386937,-0.826975373,-0.148930756,-1.353522523,-0.620172526,-1.580887853,-1.952828364,-0.274988011,-1.572399035,-0.689459878
