timesteps,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2050-01-01 00:00:00,-0.282472307,-0.25753792,-0.209664386,-0.524800663,-0.094511834,-0.858948816,-0.393563054,-1.003235429,-1.239269818,-0.174508087,-0.997848404,-0.437532982
2050-01-01 01:00:00,-0.282436414,-0.257505196,-0.209637745,-0.52473398,-0.094499825,-0.858839674,-0.393513046,-1.003107954,-1.239112351,-0.174485914,-0.997721613,-0.437477388
2050-01-01 02:00:00,-0.281980638,-0.257089652,-0.209299446,-0.5238872,-0.094347328,-0.857453737,-0.392878021,-1.001489207,-1.237112756,-0.17420434,-0.996111558,-0.436771416
2050-01-01 03:00:00,-0.28154224,-0.256689952,-0.208974046,-0.523072708,-0.094200645,-0.856120647,-0.39226721,-0.999932183,-1.235189406,-0.173933503,-0.994562895,-0.436092364
2050-01-01 04:00:00,-0.281416256,-0.256575089,-0.208880535,-0.522838643,-0.094158492,-0.85573755,-0.392091679,-0.999484733,-1.234636684,-0.173855671,-0.994117848,-0.435897221
2050-01-01 05:00:00,-0.281291083,-0.256460965,-0.208787625,-0.522606086,-0.094116611,-0.855356921,-0.391917278,-0.999040166,-1.234087522,-0.173778341,-0.993675667,-0.435703336
2050-01-01 06:00:00,-0.281265235,-0.256437399,-0.20876844,-0.522558064,-0.094107963,-0.855278322,-0.391881264,-0.998948364,-1.233974121,-0.173762372,-0.993584358,-0.435663299
2050-01-01 07:00:00,-0.280412149,-0.255659617,-0.208135239,-0.52097313,-0.09382253,-0.852684238,-0.390692677,-0.995918524,-1.230231442,-0.173235346,-0.990570788,-0.43434192
2050-01-01 08:00:00,-0.280401978,-0.255650344,-0.20812769,-0.520954234,-0.093819127,-0.85265331,-0.390678506,-0.995882402,-1.23018682,-0.173229063,-0.990534859,-0.434326166
2050-01-01 09:00:00,-0.280546673,-0.255782265,-0.208235089,-0.521223059,-0.09386754,-0.8530933,-0.390880106,-0.996396301,-1.230821626,-0.173318453,-0.991045999,-0.434550288
2050-01-01 10:00:00,-0.280819803,-0.256031286,-0.208437819,-0.521730504,-0.093958927,-0.853923843,-0.391260654,-0.997366359,-1.232019913,-0.17348719,-0.992010849,-0.434973352
2050-01-01 11:00:00,-0.281110885,-0.256296673,-0.208653874,-0.5222713,-0.094056319,-0.85480897,-0.391666211,-0.99840017,-1.233296952,-0.173667017,-0.993039109,-0.43542422
2050-01-01 12:00:00,-0.281229543,-0.256404858,-0.208741948,-0.522491753,-0.094096021,-0.85516979,-0.391831536,-0.998821601,-1.233817535,-0.173740323,-0.993458277,-0.435608015
2050-01-01 13:00:00,-0.281311987,-0.256480024,-0.208803141,-0.522644924,-0.094123605,-0.855420487,-0.391946403,-0.99911441,-1.234179234,-0.173791255,-0.993749513,-0.435735715
2050-01-01 14:00:00,-0.281314723,-0.256482518,-0.208805172,-0.522650007,-0.094124521,-0.855428806,-0.391950215,-0.999124127,-1.234191236,-0.173792946,-0.993759177,-0.435739953
2050-01-01 15:00:00,-0.281237755,-0.256412345,-0.208748043,-0.52250701,-0.094098768,-0.855194761,-0.391842977,-0.998850766,-1.233853561,-0.173745396,-0.993487285,-0.435620734
2050-01-01 16:00:00,-0.281279167,-0.256450101,-0.208778781,-0.522583948,-0.094112624,-0.855320686,-0.391900675,-0.998997845,-1.234035243,-0.173770979,-0.993633573,-0.435684879
2050-01-01 17:00:00,-0.281241551,-0.256415805,-0.20875086,-0.522514062,-0.094100038,-0.855206304,-0.391848266,-0.998864248,-1.233870215,-0.173747741,-0.993500694,-0.435626614
2050-01-01 18:00:00,-0.281354079,-0.256518401,-0.208834384,-0.522723127,-0.094137689,-0.855548482,-0.39200505,-0.999263906,-1.234363902,-0.17381726,-0.993898206,-0.435800914
2050-01-01 19:00:00,-0.284769681,-0.259632501,-0.211369606,-0.529068917,-0.095280508,-0.865934729,-0.39676394,-1.01139484,-1.249348919,-0.175927378,-1.005964001,-0.44109148
2050-01-01 20:00:00,-0.281206959,-0.256384267,-0.208725185,-0.522449795,-0.094088464,-0.855101116,-0.39180007,-0.998741391,-1.233718453,-0.17372637,-0.993378497,-0.435573034
2050-01-01 21:00:00,-0.281191622,-0.256370284,-0.208713801,-0.522421301,-0.094083333,-0.855054479,-0.391778702,-0.99868692,-1.233651167,-0.173716896,-0.993324319,-0.435549278
2050-01-01 22:00:00,-0.280895453,-0.256100259,-0.20849397,-0.521871053,-0.093984238,-0.854153882,-0.391366055,-0.99763504,-1.232351807,-0.173533926,-0.992278086,-0.43509053
2050-01-01 23:00:00,-0.280694251,-0.255916817,-0.208344628,-0.521497242,-0.093916918,-0.85354206,-0.391085724,-0.996920444,-1.231469086,-0.173409625,-0.991567327,-0.434778879
2050-01-02 00:00:00,-0.28046518,-0.255707966,-0.208174601,-0.521071656,-0.093840274,-0.852845496,-0.390766564,-0.996106871,-1.2304641,-0.173268108,-0.990758123,-0.434424061
2050-01-02 01:00:00,-0.280538801,-0.255775089,-0.208229246,-0.521208435,-0.093864907,-0.853069365,-0.390869139,-0.996368345,-1.230787093,-0.17331359,-0.991018193,-0.434538096
2050-01-02 02:00:00,-0.28055025,-0.255785527,-0.208237744,-0.521229706,-0.093868737,-0.85310418,-0.390885091,-0.996409008,-1.230837323,-0.173320664,-0.991058638,-0.43455583
2050-01-02 03:00:00,-0.280506744,-0.255745862,-0.208205452,-0.521148877,-0.093854181,-0.852971886,-0.390824475,-0.996254491,-1.230646453,-0.173293786,-0.990904951,-0.434488442
2050-01-02 04:00:00,-0.280491368,-0.255731843,-0.208194039,-0.52112031,-0.093849036,-0.852925129,-0.390803052,-0.996199881,-1.230578994,-0.173284287,-0.990850634,-0.434464625
2050-01-02 05:00:00,-0.280405862,-0.255653884,-0.208130572,-0.520961449,-0.093820427,-0.852665119,-0.390683917,-0.995896194,-1.230203857,-0.173231462,-0.990548577,-0.434332181
2050-01-02 06:00:00,-0.280344588,-0.25559802,-0.208085092,-0.52084761,-0.093799925,-0.852478798,-0.390598546,-0.995678575,-1.229935038,-0.173193608,-0.990332127,-0.434237272
2050-01-02 07:00:00,-0.280758194,-0.255975116,-0.20839209,-0.521616042,-0.093938313,-0.8537365,-0.391174815,-0.997147547,-1.23174962,-0.173449129,-0.991793211,-0.434877923
2050-01-02 08:00:00,-0.284660085,-0.259532579,-0.211288259,-0.5288653,-0.095243839,-0.865601466,-0.396611242,-1.011005595,-1.248868095,-0.175859671,-1.005576847,-0.440921722
2050-01-02 09:00:00,-0.286304551,-0.261031884,-0.21250886,-0.531920527,-0.095794057,-0.870602,-0.398902444,-1.016846121,-1.25608274,-0.176875603,-1.01138601,-0.443468903
2050-01-02 10:00:00,-0.286792812,-0.261477046,-0.212871271,-0.532827659,-0.095957423,-0.872086716,-0.399582728,-1.01858024,-1.258224851,-0.177177245,-1.013110818,-0.444225191
2050-01-02 11:00:00,-0.28710057,-0.261757637,-0.213099703,-0.533399437,-0.096060395,-0.873022553,-0.40001152,-1.019673279,-1.259575053,-0.177367374,-1.014197988,-0.444701889
2050-01-02 12:00:00,-0.283763288,-0.258714944,-0.210622614,-0.527199157,-0.094943781,-0.862874465,-0.395361753,-1.007820511,-1.244933646,-0.175305641,-1.002408865,-0.439532637
2050-01-02 13:00:00,-0.283500773,-0.258475602,-0.210427763,-0.526711434,-0.094855947,-0.862076203,-0.394995996,-1.006888156,-1.243781933,-0.175143462,-1.001481516,-0.439126016
2050-01-02 14:00:00,-0.283520421,-0.258493515,-0.210442346,-0.526747937,-0.094862521,-0.862135948,-0.39502337,-1.006957937,-1.243868132,-0.1751556,-1.001550923,-0.43915645
2050-01-02 15:00:00,-0.28313087,-0.25813835,-0.210153203,-0.526024197,-0.094732182,-0.860951391,-0.394480616,-1.005574398,-1.242159083,-0.17491494,-1.000174813,-0.438553058
2050-01-02 16:00:00,-0.284164088,-0.259080364,-0.210920106,-0.527943796,-0.095077884,-0.864093226,-0.395920179,-1.009244,-1.246692044,-0.17555325,-1.003824711,-0.440153452
2050-01-02 17:00:00,-0.286596932,-0.261298457,-0.212725879,-0.532463738,-0.095891885,-0.871491081,-0.399309813,-1.01788455,-1.257365484,-0.177056233,-1.012418864,-0.443921785
2050-01-02 18:00:00,-0.285123702,-0.259955272,-0.211632378,-0.529726647,-0.095398959,-0.867011246,-0.39725719,-1.01265219,-1.25090209,-0.176146089,-1.007214599,-0.441639838
2050-01-02 19:00:00,-0.283022334,-0.258039395,-0.210072642,-0.52582255,-0.094695867,-0.860621352,-0.394329396,-1.005188919,-1.241682912,-0.174847888,-0.999791404,-0.438384942
2050-01-02 20:00:00,-0.283653692,-0.258615022,-0.210541266,-0.52699554,-0.094907112,-0.862541202,-0.395209054,-1.007431266,-1.244452823,-0.175237933,-1.00202171,-0.439362879
2050-01-02 21:00:00,-0.283285591,-0.258279414,-0.210268044,-0.52631165,-0.094783949,-0.86142187,-0.394696186,-1.006123908,-1.242837879,-0.175010525,-1.000721373,-0.438792711
2050-01-02 22:00:00,-0.283105663,-0.258115369,-0.210134493,-0.525977366,-0.094723748,-0.860874742,-0.394445497,-1.005484874,-1.242048496,-0.174899368,-1.00008577,-0.438514014
2050-01-02 23:00:00,-0.2830928,-0.258103641,-0.210124946,-0.525953468,-0.094719444,-0.860835629,-0.394427575,-1.00543919,-1.241992064,-0.174891421,-1.000040331,-0.438494091
2050-01-03 00:00:00,-0.282981852,-0.258002486,-0.210042594,-0.525747338,-0.094682322,-0.860498253,-0.394272992,-1.005045141,-1.241505307,-0.174822878,-0.999648398,-0.438322238
2050-01-03 01:00:00,-0.282639406,-0.257690269,-0.209788415,-0.525111114,-0.094567744,-0.859456936,-0.39379587,-1.003828904,-1.240002921,-0.174611319,-0.998438692,-0.43779181
2050-01-03 02:00:00,-0.282397542,-0.257469755,-0.209608892,-0.52466176,-0.094486819,-0.858721471,-0.393458886,-1.002969895,-1.23894181,-0.174461899,-0.997584295,-0.437417177
2050-01-03 03:00:00,-0.282177778,-0.25726939,-0.209445773,-0.524253464,-0.094413289,-0.858053207,-0.393152693,-1.002189376,-1.237977656,-0.174326131,-0.996807967,-0.437076775
2050-01-03 04:00:00,-0.282006634,-0.257113353,-0.209318742,-0.523935498,-0.094356026,-0.857532788,-0.392914241,-1.001581536,-1.237226808,-0.1742204,-0.996203391,-0.436811683
2050-01-03 05:00:00,-0.281994605,-0.257102386,-0.209309813,-0.523913148,-0.094352001,-0.857496208,-0.392897481,-1.001538812,-1.237174032,-0.174212969,-0.996160896,-0.43679305
