time,E-BGM,E-BVW,E-BWK,E-BSL,E-BMR,E-CST,E-DIM,E-DOD,E-DTC,E-EEM,E-EHV,E-ENS,E-GER,E-HGL,E-KIJ,E-LLS,E-LSM,E-MBT,E-MVL,E-MEE,E-OZN,E-OHK,E-RIL,E-SMH,E-TIL,E-VVL,E-VHZ,E-WTR,E-WEW,E-WES,E-ZYV,E-ZWO,E-BRK
2040-01-01 00:00:00,0.5815,0,0,0,0,0,0,0.5815,0.5815,0.5815,0,0.5815,0,0,0,0.5815,0.5815,0.5815,0,0.5815,0,0.5815,0,0,0,0.5815,0,0,0.5815,0,0.5815,0,0
2040-01-01 01:00:00,0.6078,0,0,0,0,0,0,0.6078,0.6078,0.6078,0,0.6078,0,0,0,0.6078,0.6078,0.6078,0,0.6078,0,0.6078,0,0,0,0.6078,0,0,0.6078,0,0.6078,0,0
2040-01-01 02:00:00,0.6329,0,0,0,0,0,0,0.6329,0.6329,0.6329,0,0.6329,0,0,0,0.6329,0.6329,0.6329,0,0.6329,0,0.6329,0,0,0,0.6329,0,0,0.6329,0,0.6329,0,0
2040-01-01 03:00:00,0.7024,0,0,0,0,0,0,0.7024,0.7024,0.7024,0,0.7024,0,0,0,0.7024,0.7024,0.7024,0,0.7024,0,0.7024,0,0,0,0.7024,0,0,0.7024,0,0.7024,0,0
2040-01-01 04:00:00,0.725,0,0,0,0,0,0,0.725,0.725,0.725,0,0.725,0,0,0,0.725,0.725,0.725,0,0.725,0,0.725,0,0,0,0.725,0,0,0.725,0,0.725,0,0
2040-01-01 05:00:00,0.7257,0,0,0,0,0,0,0.7257,0.7257,0.7257,0,0.7257,0,0,0,0.7257,0.7257,0.7257,0,0.7257,0,0.7257,0,0,0,0.7257,0,0,0.7257,0,0.7257,0,0
2040-01-01 06:00:00,0.713,0,0,0,0,0,0,0.713,0.713,0.713,0,0.713,0,0,0,0.713,0.713,0.713,0,0.713,0,0.713,0,0,0,0.713,0,0,0.713,0,0.713,0,0
2040-01-01 07:00:00,0.6656,0,0,0,0,0,0,0.6656,0.6656,0.6656,0,0.6656,0,0,0,0.6656,0.6656,0.6656,0,0.6656,0,0.6656,0,0,0,0.6656,0,0,0.6656,0,0.6656,0,0
2040-01-01 08:00:00,0.6109,0,0,0,0,0,0,0.6109,0.6109,0.6109,0,0.6109,0,0,0,0.6109,0.6109,0.6109,0,0.6109,0,0.6109,0,0,0,0.6109,0,0,0.6109,0,0.6109,0,0
2040-01-01 09:00:00,0.5566,0,0,0,0,0,0,0.5566,0.5566,0.5566,0,0.5566,0,0,0,0.5566,0.5566,0.5566,0,0.5566,0,0.5566,0,0,0,0.5566,0,0,0.5566,0,0.5566,0,0
2040-01-01 10:00:00,0.5485,0,0,0,0,0,0,0.5485,0.5485,0.5485,0,0.5485,0,0,0,0.5485,0.5485,0.5485,0,0.5485,0,0.5485,0,0,0,0.5485,0,0,0.5485,0,0.5485,0,0
2040-01-01 11:00:00,0.5868,0,0,0,0,0,0,0.5868,0.5868,0.5868,0,0.5868,0,0,0,0.5868,0.5868,0.5868,0,0.5868,0,0.5868,0,0,0,0.5868,0,0,0.5868,0,0.5868,0,0
2040-01-01 12:00:00,0.6209,0,0,0,0,0,0,0.6209,0.6209,0.6209,0,0.6209,0,0,0,0.6209,0.6209,0.6209,0,0.6209,0,0.6209,0,0,0,0.6209,0,0,0.6209,0,0.6209,0,0
2040-01-01 13:00:00,0.6594,0,0,0,0,0,0,0.6594,0.6594,0.6594,0,0.6594,0,0,0,0.6594,0.6594,0.6594,0,0.6594,0,0.6594,0,0,0,0.6594,0,0,0.6594,0,0.6594,0,0
2040-01-01 14:00:00,0.7342,0,0,0,0,0,0,0.7342,0.7342,0.7342,0,0.7342,0,0,0,0.7342,0.7342,0.7342,0,0.7342,0,0.7342,0,0,0,0.7342,0,0,0.7342,0,0.7342,0,0
2040-01-01 15:00:00,0.8132,0,0,0,0,0,0,0.8132,0.8132,0.8132,0,0.8132,0,0,0,0.8132,0.8132,0.8132,0,0.8132,0,0.8132,0,0,0,0.8132,0,0,0.8132,0,0.8132,0,0
2040-01-01 16:00:00,0.848,0,0,0,0,0,0,0.848,0.848,0.848,0,0.848,0,0,0,0.848,0.848,0.848,0,0.848,0,0.848,0,0,0,0.848,0,0,0.848,0,0.848,0,0
2040-01-01 17:00:00,0.8609,0,0,0,0,0,0,0.8609,0.8609,0.8609,0,0.8609,0,0,0,0.8609,0.8609,0.8609,0,0.8609,0,0.8609,0,0,0,0.8609,0,0,0.8609,0,0.8609,0,0
2040-01-01 18:00:00,0.8619,0,0,0,0,0,0,0.8619,0.8619,0.8619,0,0.8619,0,0,0,0.8619,0.8619,0.8619,0,0.8619,0,0.8619,0,0,0,0.8619,0,0,0.8619,0,0.8619,0,0
2040-01-01 19:00:00,0.8572,0,0,0,0,0,0,0.8572,0.8572,0.8572,0,0.8572,0,0,0,0.8572,0.8572,0.8572,0,0.8572,0,0.8572,0,0,0,0.8572,0,0,0.8572,0,0.8572,0,0
2040-01-01 20:00:00,0.8381,0,0,0,0,0,0,0.8381,0.8381,0.8381,0,0.8381,0,0,0,0.8381,0.8381,0.8381,0,0.8381,0,0.8381,0,0,0,0.8381,0,0,0.8381,0,0.8381,0,0
2040-01-01 21:00:00,0.8286,0,0,0,0,0,0,0.8286,0.8286,0.8286,0,0.8286,0,0,0,0.8286,0.8286,0.8286,0,0.8286,0,0.8286,0,0,0,0.8286,0,0,0.8286,0,0.8286,0,0
2040-01-01 22:00:00,0.8293,0,0,0,0,0,0,0.8293,0.8293,0.8293,0,0.8293,0,0,0,0.8293,0.8293,0.8293,0,0.8293,0,0.8293,0,0,0,0.8293,0,0,0.8293,0,0.8293,0,0
2040-01-01 23:00:00,0.832,0,0,0,0,0,0,0.832,0.832,0.832,0,0.832,0,0,0,0.832,0.832,0.832,0,0.832,0,0.832,0,0,0,0.832,0,0,0.832,0,0.832,0,0
2040-01-02 00:00:00,0.8323,0,0,0,0,0,0,0.8323,0.8323,0.8323,0,0.8323,0,0,0,0.8323,0.8323,0.8323,0,0.8323,0,0.8323,0,0,0,0.8323,0,0,0.8323,0,0.8323,0,0
2040-01-02 01:00:00,0.8241,0,0,0,0,0,0,0.8241,0.8241,0.8241,0,0.8241,0,0,0,0.8241,0.8241,0.8241,0,0.8241,0,0.8241,0,0,0,0.8241,0,0,0.8241,0,0.8241,0,0
2040-01-02 02:00:00,0.8155,0,0,0,0,0,0,0.8155,0.8155,0.8155,0,0.8155,0,0,0,0.8155,0.8155,0.8155,0,0.8155,0,0.8155,0,0,0,0.8155,0,0,0.8155,0,0.8155,0,0
2040-01-02 03:00:00,0.799,0,0,0,0,0,0,0.799,0.799,0.799,0,0.799,0,0,0,0.799,0.799,0.799,0,0.799,0,0.799,0,0,0,0.799,0,0,0.799,0,0.799,0,0
2040-01-02 04:00:00,0.7755,0,0,0,0,0,0,0.7755,0.7755,0.7755,0,0.7755,0,0,0,0.7755,0.7755,0.7755,0,0.7755,0,0.7755,0,0,0,0.7755,0,0,0.7755,0,0.7755,0,0
2040-01-02 05:00:00,0.7634,0,0,0,0,0,0,0.7634,0.7634,0.7634,0,0.7634,0,0,0,0.7634,0.7634,0.7634,0,0.7634,0,0.7634,0,0,0,0.7634,0,0,0.7634,0,0.7634,0,0
2040-01-02 06:00:00,0.7417,0,0,0,0,0,0,0.7417,0.7417,0.7417,0,0.7417,0,0,0,0.7417,0.7417,0.7417,0,0.7417,0,0.7417,0,0,0,0.7417,0,0,0.7417,0,0.7417,0,0
2040-01-02 07:00:00,0.7,0,0,0,0,0,0,0.7,0.7,0.7,0,0.7,0,0,0,0.7,0.7,0.7,0,0.7,0,0.7,0,0,0,0.7,0,0,0.7,0,0.7,0,0
