time,E-BGM,E-BMR,E-BRK,E-BSL,E-BVW,E-BWK,E-CST,E-DIM,E-DOD,E-DTC,E-EEM,E-EHV,E-ENS,E-GER,E-HGL,E-KIJ,E-LLS,E-LSM,E-MBT,E-MEE,E-MVL,E-OHK,E-OZN,E-RIL,E-SMH,E-TIL,E-VHZ,E-VVL,E-WES,E-WEW,E-WTR,E-ZWO,E-ZYV
2040-01-01 00:00:00,-0.034,-0.0366,-0.0027,-0.1706,-0.0171,-0.043300000000000005,-9.999999999999999e-05,-0.0171,-0.0567,-0.0567,-0.0644,-0.0366,-0.00019999999999999998,-0.2562,-0.016900000000000002,-0.043300000000000005,-0.00019999999999999998,-0.034,-0.06470000000000001,-0.0,-0.12990000000000002,-0.034,-0.0171,-0.1706,-0.12990000000000002,-0.0366,-0.005699999999999999,-0.0,-0.12990000000000002,-0.0644,-0.043300000000000005,-0.016900000000000002,-0.0436
2040-01-01 01:00:00,-0.034,-0.0366,-0.0027,-0.1706,-0.0171,-9.999999999999999e-05,-9.999999999999999e-05,-0.0171,-0.0567,-0.0567,-0.0644,-0.0366,-0.00019999999999999998,-0.2562,-0.016900000000000002,-0.043300000000000005,-0.00019999999999999998,-0.034,-0.06470000000000001,-0.0,-0.12990000000000002,-0.034,-0.0171,-0.1706,-0.12990000000000002,-0.0366,-0.005699999999999999,-0.0,-0.12990000000000002,-0.0644,-0.043300000000000005,-0.016900000000000002,-0.0436
2040-01-01 02:00:00,-0.034,-0.0366,-0.0027,-0.1706,-0.0171,-0.0,-9.999999999999999e-05,-0.0171,-0.0567,-0.0567,-0.0644,-0.0366,-0.00019999999999999998,-0.2562,-0.016900000000000002,-0.043300000000000005,-0.00019999999999999998,-0.034,-0.06470000000000001,-0.0,-0.12990000000000002,-0.034,-0.0171,-0.1706,-0.12990000000000002,-0.0366,-0.005699999999999999,-0.0,-0.12990000000000002,-0.0644,-0.043300000000000005,-0.016900000000000002,-0.0436
2040-01-01 03:00:00,-0.034,-0.0366,-0.0027,-0.1706,-0.0171,-0.0,-9.999999999999999e-05,-0.0171,-0.0567,-0.0567,-0.0644,-0.0366,-0.00019999999999999998,-0.2562,-0.016900000000000002,-0.043300000000000005,-0.00019999999999999998,-0.034,-0.06470000000000001,-0.0,-0.12990000000000002,-0.034,-0.0171,-0.1706,-0.12990000000000002,-0.0366,-0.005699999999999999,-0.0,-0.12990000000000002,-0.0644,-0.043300000000000005,-0.016900000000000002,-0.0436
2040-01-01 04:00:00,-0.0334,-0.036000000000000004,-0.0027,-0.1676,-0.0168,-0.0,-9.999999999999999e-05,-0.0168,-0.0557,-0.0557,-0.0632,-0.036000000000000004,-0.00019999999999999998,-0.2517,-0.0166,-0.0425,-0.00019999999999999998,-0.0334,-0.0636,-0.0,-0.12760000000000002,-0.0334,-0.0168,-0.1676,-0.12760000000000002,-0.036000000000000004,-0.0056,-0.0,-0.12760000000000002,-0.0632,-0.0425,-0.0166,-0.0428
2040-01-01 05:00:00,-0.0329,-0.035500000000000004,-0.0027,-0.1653,-0.0166,-0.0,-9.999999999999999e-05,-0.0166,-0.0549,-0.0549,-0.062299999999999994,-0.035500000000000004,-0.00019999999999999998,-0.2482,-0.016399999999999998,-0.0419,-0.00019999999999999998,-0.0329,-0.0627,-0.0,-0.1258,-0.0329,-0.0166,-0.1653,-0.1258,-0.035500000000000004,-0.0055,-0.0,-0.1258,-0.062299999999999994,-0.0419,-0.016399999999999998,-0.0422
2040-01-01 06:00:00,-0.032799999999999996,-0.0354,-0.0027,-0.165,-0.0165,-0.0,-9.999999999999999e-05,-0.0165,-0.054799999999999995,-0.054799999999999995,-0.06219999999999999,-0.0354,-0.00019999999999999998,-0.2477,-0.016399999999999998,-0.0419,-0.00019999999999999998,-0.032799999999999996,-0.0626,-0.0,-0.1256,-0.032799999999999996,-0.0165,-0.165,-0.1256,-0.0354,-0.0055,-0.0,-0.1256,-0.06219999999999999,-0.0419,-0.016399999999999998,-0.0422
2040-01-01 07:00:00,-0.0309,-0.0333,-0.0025,-0.155,-0.0155,-0.0,-9.999999999999999e-05,-0.0155,-0.0515,-0.0515,-0.058499999999999996,-0.0333,-0.00019999999999999998,-0.2328,-0.015400000000000002,-0.0393,-0.00019999999999999998,-0.0309,-0.0588,-0.0,-0.118,-0.0309,-0.0155,-0.155,-0.118,-0.0333,-0.0052,-0.0,-0.118,-0.058499999999999996,-0.0393,-0.015400000000000002,-0.0396
2040-01-01 08:00:00,-0.030800000000000004,-0.0332,-0.0025,-0.1549,-0.0155,-0.0,-9.999999999999999e-05,-0.0155,-0.0515,-0.0515,-0.0584,-0.0332,-0.00019999999999999998,-0.2326,-0.015400000000000002,-0.0393,-0.00019999999999999998,-0.030800000000000004,-0.0588,-0.0,-0.1179,-0.030800000000000004,-0.0155,-0.1549,-0.1179,-0.0332,-0.0052,-0.0,-0.1179,-0.0584,-0.0393,-0.015400000000000002,-0.0396
2040-01-01 09:00:00,-0.0312,-0.0336,-0.0025,-0.15660000000000002,-0.0157,-0.0,-9.999999999999999e-05,-0.0157,-0.0521,-0.0521,-0.0591,-0.0336,-0.00019999999999999998,-0.2352,-0.0155,-0.039700000000000006,-0.00019999999999999998,-0.0312,-0.0594,-0.0,-0.1192,-0.0312,-0.0157,-0.15660000000000002,-0.1192,-0.0336,-0.0052,-0.0,-0.1192,-0.0591,-0.039700000000000006,-0.0155,-0.04
