time,E-BGM,E-BMR,E-BRK,E-BSL,E-BVW,E-BWK,E-CST,E-DIM,E-DOD,E-DTC,E-EEM,E-EHV,E-ENS,E-GER,E-HGL,E-KIJ,E-LLS,E-LSM,E-MBT,E-MEE,E-MVL,E-OHK,E-OZN,E-RIL,E-SMH,E-TIL,E-VHZ,E-VVL,E-WES,E-WEW,E-WTR,E-ZWO,E-ZYV
2040-01-01 00:00:00,-0.17,-0.183,-0.013,-0.853,-0.085,-0.216,-0.0,-0.085,-0.283,-0.283,-0.321,-0.183,-0.001,-1.281,-0.084,-0.216,-0.001,-0.17,-0.323,-0.0,-0.649,-0.17,-0.085,-0.853,-0.649,-0.183,-0.028,-0.0,-0.649,-0.321,-0.216,-0.084,-0.218
2040-01-01 01:00:00,-0.17,-0.183,-0.013,-0.853,-0.085,-0.0,-0.0,-0.085,-0.283,-0.283,-0.321,-0.183,-0.001,-1.281,-0.084,-0.216,-0.001,-0.17,-0.323,-0.0,-0.649,-0.17,-0.085,-0.853,-0.649,-0.183,-0.028,-0.0,-0.649,-0.321,-0.216,-0.084,-0.218
2040-01-01 02:00:00,-0.17,-0.183,-0.013,-0.853,-0.085,-0.0,-0.0,-0.085,-0.283,-0.283,-0.321,-0.183,-0.001,-1.281,-0.084,-0.216,-0.001,-0.17,-0.323,-0.0,-0.649,-0.17,-0.085,-0.853,-0.649,-0.183,-0.028,-0.0,-0.649,-0.321,-0.216,-0.084,-0.218
2040-01-01 03:00:00,-0.17,-0.183,-0.013,-0.853,-0.085,-0.0,-0.0,-0.085,-0.283,-0.283,-0.321,-0.183,-0.001,-1.281,-0.084,-0.216,-0.001,-0.17,-0.323,-0.0,-0.649,-0.17,-0.085,-0.853,-0.649,-0.183,-0.028,-0.0,-0.649,-0.321,-0.216,-0.084,-0.218
2040-01-01 04:00:00,-0.166,-0.18,-0.013,-0.838,-0.083,-0.0,-0.0,-0.083,-0.278,-0.278,-0.316,-0.18,-0.001,-1.258,-0.083,-0.212,-0.001,-0.166,-0.318,-0.0,-0.638,-0.166,-0.083,-0.838,-0.638,-0.18,-0.028,-0.0,-0.638,-0.316,-0.212,-0.083,-0.214
2040-01-01 05:00:00,-0.164,-0.177,-0.013,-0.826,-0.083,-0.0,-0.0,-0.083,-0.274,-0.274,-0.311,-0.177,-0.001,-1.241,-0.081,-0.209,-0.001,-0.164,-0.313,-0.0,-0.629,-0.164,-0.083,-0.826,-0.629,-0.177,-0.027,-0.0,-0.629,-0.311,-0.209,-0.081,-0.211
2040-01-01 06:00:00,-0.163,-0.177,-0.013,-0.825,-0.082,-0.0,-0.0,-0.082,-0.273,-0.273,-0.31,-0.177,-0.001,-1.238,-0.081,-0.209,-0.001,-0.163,-0.313,-0.0,-0.628,-0.163,-0.082,-0.825,-0.628,-0.177,-0.027,-0.0,-0.628,-0.31,-0.209,-0.081,-0.211
2040-01-01 07:00:00,-0.154,-0.166,-0.012,-0.775,-0.077,-0.0,-0.0,-0.077,-0.257,-0.257,-0.292,-0.166,-0.001,-1.163,-0.077,-0.196,-0.001,-0.154,-0.294,-0.0,-0.59,-0.154,-0.077,-0.775,-0.59,-0.166,-0.026,-0.0,-0.59,-0.292,-0.196,-0.077,-0.197
2040-01-01 08:00:00,-0.154,-0.166,-0.012,-0.774,-0.077,-0.0,-0.0,-0.077,-0.257,-0.257,-0.292,-0.166,-0.001,-1.163,-0.077,-0.196,-0.001,-0.154,-0.294,-0.0,-0.589,-0.154,-0.077,-0.774,-0.589,-0.166,-0.026,-0.0,-0.589,-0.292,-0.196,-0.077,-0.197
2040-01-01 09:00:00,-0.156,-0.167,-0.012,-0.782,-0.078,-0.0,-0.0,-0.078,-0.26,-0.26,-0.295,-0.167,-0.001,-1.176,-0.077,-0.198,-0.001,-0.156,-0.297,-0.0,-0.596,-0.156,-0.078,-0.782,-0.596,-0.167,-0.026,-0.0,-0.596,-0.295,-0.198,-0.077,-0.2
2040-01-01 10:00:00,-0.159,-0.171,-0.013,-0.799,-0.079,-0.0,-0.0,-0.079,-0.265,-0.265,-0.301,-0.171,-0.001,-1.199,-0.079,-0.202,-0.001,-0.159,-0.303,-0.0,-0.608,-0.159,-0.079,-0.799,-0.608,-0.171,-0.026,-0.0,-0.608,-0.301,-0.202,-0.079,-0.204
2040-01-01 11:00:00,-0.162,-0.174,-0.013,-0.816,-0.081,-0.0,-0.0,-0.081,-0.27,-0.27,-0.307,-0.174,-0.001,-1.225,-0.081,-0.207,-0.001,-0.162,-0.309,-0.0,-0.621,-0.162,-0.081,-0.816,-0.621,-0.174,-0.027,-0.0,-0.621,-0.307,-0.207,-0.081,-0.208
